time,co,no2,o3,so2,pm2_5,pm10
2024-12-15T03:00,583.8,4.33,34.41,1.43,30.73,32.23
2024-12-15T04:00,571.9,4.58,34.43,1.38,27.32,28.68
2024-12-15T05:00,557.43,4.37,34.37,1.28,24.55,25.71
2024-12-15T06:00,558.86,4.0,33.07,1.2,23.8,24.88
2024-12-15T07:00,560.48,4.32,33.37,1.33,25.29,26.47
2024-12-15T08:00,575.06,4.34,35.51,1.43,31.57,33.14
2024-12-15T09:00,585.25,4.86,33.35,1.69,32.85,34.45
2024-12-15T10:00,584.65,4.82,33.9,1.4,33.71,35.92
2024-12-15T11:00,560.53,4.38,40.64,1.59,38.18,40.8
2024-12-15T12:00,550.79,4.26,43.69,1.69,30.81,32.61
2024-12-15T13:00,555.08,3.54,53.24,2.21,38.59,41.03
2024-12-15T14:00,556.43,4.33,53.68,2.24,36.91,39.36
2024-12-15T15:00,537.65,4.49,46.96,1.92,26.87,28.5
2024-12-15T16:00,531.21,3.93,46.41,1.74,29.51,31.22
2024-12-15T17:00,545.49,4.03,48.48,1.81,31.94,33.83
2024-12-15T18:00,553.67,4.24,46.93,1.82,34.94,37.09
2024-12-15T19:00,560.33,5.06,38.48,1.55,29.67,31.42
2024-12-15T20:00,622.12,6.92,32.24,1.82,33.31,35.56
2024-12-15T21:00,590.81,5.72,33.65,1.81,31.54,33.35
2024-12-15T22:00,587.03,5.67,32.13,1.58,31.28,33.23
2024-12-15T23:00,604.62,5.72,29.75,1.45,30.91,32.69
2024-12-16T00:00,592.25,5.1,31.2,1.41,29.81,31.3
2024-12-16T01:00,563.48,4.47,33.17,1.34,26.5,27.78
2024-12-16T02:00,556.15,4.4,32.53,1.26,24.28,25.46
2024-12-16T03:00,555.08,4.58,31.8,1.24,24.31,25.6
2024-12-16T04:00,556.02,4.36,33.38,1.26,23.7,24.83
2024-12-16T05:00,579.06,4.21,30.47,1.14,24.23,25.29
2024-12-16T06:00,578.37,4.41,29.52,1.13,24.33,25.49
2024-12-16T07:00,570.88,4.29,31.39,1.23,25.1,26.27
2024-12-16T08:00,582.81,4.27,31.28,1.18,25.46,26.69
2024-12-16T09:00,580.7,4.45,32.39,1.34,27.73,29.11
2024-12-16T10:00,590.51,4.66,34.96,1.47,33.69,35.32
2024-12-16T11:00,581.37,4.62,37.1,1.5,34.27,35.94
2024-12-16T12:00,600.07,4.58,36.57,1.55,40.3,42.35
2024-12-16T13:00,548.61,4.64,43.43,1.93,32.97,35.3
2024-12-16T14:00,525.58,4.35,54.01,2.86,36.32,38.79
2024-12-16T15:00,558.27,6.52,47.82,3.16,40.06,43.54
2024-12-16T16:00,585.65,6.63,46.8,3.27,40.58,43.72
2024-12-16T17:00,585.47,5.61,54.45,2.63,48.72,52.12
2024-12-16T18:00,552.32,4.25,51.18,2.14,37.67,40.04
2024-12-16T19:00,569.68,4.61,49.22,2.06,39.74,42.23
2024-12-16T20:00,599.82,6.06,38.52,1.74,38.51,40.96
2024-12-16T21:00,581.62,5.55,38.85,1.61,40.44,43.23
2024-12-16T22:00,603.87,6.55,34.35,1.89,39.46,42.35
