time,co,no2,o3,so2,pm2_5,pm10,aqi
2020-11-28 00:00:00,453.95,3.51,34.69,1.25,37.11,38.9,4
2020-11-28 01:00:00,480.65,3.77,31.11,1.31,41.68,43.51,4
2020-11-28 02:00:00,480.65,2.96,28.25,1.04,45.44,47.26,4
2020-11-28 03:00:00,467.3,2.1,27.18,0.86,49.17,51.01,4
2020-11-28 04:00:00,480.65,2.08,25.75,0.86,51.85,53.74,5
2020-11-28 05:00:00,500.68,2.5700000000000003,22.53,0.89,52.33,54.24,5
2020-11-28 06:00:00,514.03,2.66,20.21,0.8200000000000001,51.62,53.53,5
2020-11-28 07:00:00,520.71,2.83,19.13,0.8200000000000001,52.34,54.42,5
2020-11-28 08:00:00,554.09,3.9,18.24,0.9400000000000001,48.97,50.98,4
2020-11-28 09:00:00,580.79,3.77,21.28,0.9500000000000001,45.79,47.73,4
2020-11-28 10:00:00,580.79,2.74,32.19,1.01,47.35,49.26,4
2020-11-28 11:00:00,560.76,0.87,74.39,1.76,45.7,47.08,4
2020-11-28 12:00:00,527.38,0.71,82.25,1.6400000000000001,38.51,39.56,4
2020-11-28 13:00:00,507.36,0.7000000000000001,82.25,1.46,36.45,37.42,4
2020-11-28 14:00:00,460.63,0.7000000000000001,80.82,1.22,30.88,31.69,4
2020-11-28 15:00:00,397.21,0.66,80.11,0.98,24.3,24.93,3
2020-11-28 16:00:00,373.84,0.68,79.39,0.89,22.17,22.75,3
2020-11-28 17:00:00,387.19,0.81,77.96,0.91,23.11,23.72,3
2020-11-28 18:00:00,417.23,1.02,73.67,0.9500000000000001,24.57,25.25,3
2020-11-28 19:00:00,433.92,1.17,66.52,0.91,23.36,24.05,3
2020-11-28 20:00:00,447.27,1.76,54.36,0.86,19.91,20.65,2
2020-11-28 21:00:00,453.95,2.51,43.27,0.79,17.27,18.1,2
2020-11-28 22:00:00,447.27,2.91,36.48,0.72,15.66,16.55,2
2020-11-28 23:00:00,433.92,2.96,32.19,0.63,14.79,15.68,2
2020-11-29 00:00:00,427.25,2.87,27.9,0.53,14.35,15.21,2
2020-11-29 01:00:00,420.57,2.79,23.96,0.44,14.2,15.09,2
2020-11-29 02:00:00,403.88,2.36,19.31,0.34,14.28,15.22,2
2020-11-29 03:00:00,380.52,1.97,16.09,0.31,14.48,15.49,2
2020-11-29 04:00:00,367.17,1.9500000000000002,16.45,0.36,14.8,15.88,2
2020-11-29 05:00:00,360.49,2.21,16.63,0.43,15.01,16.2,2
2020-11-29 06:00:00,353.81,2.25,14.66,0.44,15.21,16.48,2
2020-11-29 07:00:00,360.49,2.61,12.52,0.53,15.7,17.04,2
2020-11-29 08:00:00,383.85,3.34,11.8,0.58,15.93,17.27,2
2020-11-29 09:00:00,397.21,3.21,13.23,0.54,15.94,17.22,2
2020-11-29 10:00:00,397.21,2.61,19.49,0.49,16.13,17.28,2
2020-11-29 11:00:00,370.5,0.88,41.13,0.38,14.07,14.55,2
2020-11-29 12:00:00,360.49,0.62,49.35,0.35000000000000003,12.51,12.88,2
2020-11-29 13:00:00,350.48,0.5700000000000001,53.64,0.34,11.62,11.96,2
2020-11-29 14:00:00,340.46,0.56,57.22,0.34,11.06,11.38,2
2020-11-29 15:00:00,320.44,0.53,62.23,0.31,10.23,10.52,2
2020-11-29 16:00:00,303.75,0.55,65.8,0.31,9.51,9.78,1
2020-11-29 17:00:00,307.08,0.87,61.51,0.38,9.3,9.61,1
2020-11-29 18:00:00,317.1,1.3599999999999999,54.36,0.46,9.4,9.8,1
2020-11-29 19:00:00,320.44,1.56,50.78,0.49,9.43,9.91,1
2020-11-29 20:00:00,333.79,1.9500000000000002,42.92,0.54,9.77,10.45,1
2020-11-29 21:00:00,347.14,2.42,33.26,0.56,10.09,11.02,2
2020-11-29 22:00:00,353.81,2.79,27.18,0.6000000000000001,10.37,11.52,2
2020-11-29 23:00:00,353.81,3.13,21.99,0.67,10.84,12.18,2
2020-11-30 00:00:00,357.15,3.6,15.2,0.62,11.49,13.03,2
2020-11-30 01:00:00,370.5,4.03,10.01,0.53,12.36,14.12,2
2020-11-30 02:00:00,370.5,3.81,7.51,0.41000000000000003,13.23,15.13,2
2020-11-30 03:00:00,363.83,3.3,6.35,0.30000000000000004,13.89,15.84,2
2020-11-30 04:00:00,363.83,2.96,5.8100000000000005,0.24,14.35,16.24,2
2020-11-30 05:00:00,367.17,2.79,6.35,0.21,14.5,16.21,2
2020-11-30 06:00:00,363.83,2.5300000000000002,6.62,0.22,14.52,16.12,2
2020-11-30 07:00:00,373.84,2.96,5.54,0.4,15.09,16.81,2
2020-11-30 08:00:00,407.22,3.34,4.92,0.63,15.8,17.65,2
2020-11-30 09:00:00,440.6,3.3,7.78,0.7000000000000001,16.12,18.05,2
2020-11-30 10:00:00,453.95,4.16,14.84,0.72,16.7,18.68,2
2020-11-30 11:00:00,387.19,1.01,57.22,0.6000000000000001,20.23,21.08,3
2020-11-30 12:00:00,373.84,0.66,63.66,0.59,21.15,21.88,3
2020-11-30 13:00:00,370.5,0.64,65.09,0.5700000000000001,20.58,21.27,3
2020-11-30 14:00:00,370.5,0.88,62.23,0.59,20.45,21.18,3
2020-11-30 15:00:00,370.5,1.26,59.37,0.63,20.79,21.59,3
2020-11-30 16:00:00,363.83,1.65,58.65,0.68,20.56,21.4,3
2020-11-30 17:00:00,390.53,4.37,44.7,1.06,21.36,22.43,3
2020-11-30 18:00:00,440.6,8.05,26.46,1.49,22.79,24.23,3
2020-11-30 19:00:00,467.3,9.43,18.24,1.62,23.85,25.72,3
2020-11-30 20:00:00,487.33,8.91,14.66,1.76,24.9,27.32,3
2020-11-30 21:00:00,500.68,7.97,12.52,1.7000000000000002,26.31,29.22,4
2020-11-30 22:00:00,500.68,7.37,11.8,1.51,27.76,30.96,4
2020-11-30 23:00:00,480.65,6.6,12.52,1.28,28.82,32.03,4
2020-12-01 00:00:00,473.98,6.34,12.88,1.21,30.36,33.39,4
2020-12-01 01:00:00,494.0,6.6,13.77,1.28,33.74,36.65,4
2020-12-01 02:00:00,494.0,6.6,13.95,1.27,36.93,39.84,4
2020-12-01 03:00:00,494.0,6.77,13.95,1.33,38.99,42.05,4
2020-12-01 04:00:00,500.68,7.45,14.84,1.52,41.61,44.79,4
2020-12-01 05:00:00,527.38,8.48,16.99,1.77,45.18,48.38,4
2020-12-01 06:00:00,527.38,8.4,16.27,1.6800000000000002,47.09,50.29,4
2020-12-01 07:00:00,520.71,7.63,11.27,1.13,46.57,49.86,4
2020-12-01 08:00:00,514.03,5.27,28.97,0.98,43.19,45.44,4
2020-12-01 09:00:00,507.36,4.03,35.76,0.93,42.41,44.55,4
2020-12-01 10:00:00,500.68,3.04,42.56,0.85,43.3,45.44,4
2020-12-01 11:00:00,417.23,0.9400000000000001,62.23,0.63,35.06,36.34,4
2020-12-01 12:00:00,353.81,0.51,67.23,0.46,24.78,25.59,3
2020-12-01 13:00:00,317.1,0.43,67.95,0.39,19.64,20.26,2
2020-12-01 14:00:00,293.73,0.45,68.67,0.36,17.05,17.57,2
2020-12-01 15:00:00,277.04,0.48,68.67,0.34,15.34,15.79,2
2020-12-01 16:00:00,263.69,0.55,69.38,0.32,13.9,14.3,2
2020-12-01 17:00:00,260.35,0.87,67.95,0.37,13.43,13.84,2
2020-12-01 18:00:00,267.03,1.29,64.37,0.45,13.93,14.4,2
2020-12-01 19:00:00,270.37,1.5,60.8,0.49,15.04,15.6,2
2020-12-01 20:00:00,307.08,2.5700000000000003,45.42,0.78,17.05,18.07,2
2020-12-01 21:00:00,347.14,3.6,27.9,0.89,19.18,20.85,2
2020-12-01 22:00:00,367.17,4.2,19.49,0.89,20.87,23.09,3
2020-12-01 23:00:00,377.18,4.67,15.38,0.98,22.57,25.14,3
2020-12-02 00:00:00,390.53,5.14,12.88,1.09,23.99,26.7,3
2020-12-02 01:00:00,403.88,5.23,12.88,1.15,24.79,27.54,3
2020-12-02 02:00:00,397.21,4.93,13.59,1.1,24.86,27.58,3
2020-12-02 03:00:00,387.19,4.8,14.31,1.09,25.04,27.73,4
2020-12-02 04:00:00,387.19,5.06,15.91,1.16,25.41,27.98,4
