time,co,no2,o3,so2,pm2_5,pm10
2020-11-28 00:00:00,333.79,3.47,63.66,3.19,13.29,14.19
2020-11-28 01:00:00,360.49,4.24,60.08,3.43,13.92,14.88
2020-11-28 02:00:00,367.17,4.24,57.22,3.04,13.16,14.06
2020-11-28 03:00:00,347.14,3.73,57.94,2.5300000000000002,10.93,11.67
2020-11-28 04:00:00,307.08,3.04,60.8,2.09,8.62,9.16
2020-11-28 05:00:00,263.69,2.4,65.09,1.8,8.28,8.76
2020-11-28 06:00:00,247.0,2.01,67.95,1.52,10.02,10.53
2020-11-28 07:00:00,250.34,2.01,69.38,1.65,12.74,13.34
2020-11-28 08:00:00,247.0,1.97,71.53,1.71,14.0,14.81
2020-11-28 09:00:00,240.33,1.8599999999999999,72.96,1.62,13.49,14.76
2020-11-28 10:00:00,240.33,2.04,73.67,1.6099999999999999,12.88,14.79
2020-11-28 11:00:00,253.68,2.38,72.24,1.67,12.06,14.13
2020-11-28 12:00:00,253.68,2.36,70.81,1.65,11.31,13.06
2020-11-28 13:00:00,243.66,2.08,69.38,1.54,10.31,11.54
2020-11-28 14:00:00,240.33,1.99,68.67,1.57,9.53,10.52
2020-11-28 15:00:00,240.33,2.04,68.67,1.67,9.33,10.23
2020-11-28 16:00:00,243.66,2.12,69.38,1.74,9.46,10.25
2020-11-28 17:00:00,263.69,1.9100000000000001,70.81,1.6099999999999999,11.72,12.36
2020-11-28 18:00:00,323.77,1.78,75.82,1.65,18.93,19.52
2020-11-28 19:00:00,393.87,1.8599999999999999,80.11,1.97,28.24,28.86
2020-11-28 20:00:00,440.6,1.8900000000000001,82.97,2.35,36.65,37.3
2020-11-28 21:00:00,487.33,1.9300000000000002,85.83,2.71,44.15,44.79
2020-11-28 22:00:00,540.73,1.97,90.12,2.92,49.85,50.47
2020-11-28 23:00:00,574.11,2.16,90.12,2.95,51.25,51.86
2020-11-29 00:00:00,554.09,2.64,85.12,2.95,47.16,47.88
2020-11-29 01:00:00,480.65,2.96,80.11,2.62,37.91,38.68
2020-11-29 02:00:00,400.54,2.87,76.53,2.3,29.37,30.09
2020-11-29 03:00:00,350.48,2.55,72.96,2.06,23.14,23.82
2020-11-29 04:00:00,337.12,2.55,70.1,2.09,20.38,21.04
