time,co,no2,o3,so2,pm2_5,pm10,aqi
2020-11-28 00:00:00,453.95,6.43,37.19,3.43,26.29,28.84,4
2020-11-28 01:00:00,453.95,6.26,33.26,3.49,24.85,27.36,3
2020-11-28 02:00:00,460.63,6.68,29.68,3.64,25.1,27.67,4
2020-11-28 03:00:00,467.3,7.11,26.46,3.64,25.86,28.39,4
2020-11-28 04:00:00,473.98,7.54,23.96,3.58,26.52,29.03,4
2020-11-28 05:00:00,473.98,7.63,22.89,3.49,26.74,29.16,4
2020-11-28 06:00:00,473.98,7.71,23.25,3.52,26.93,29.26,4
2020-11-28 07:00:00,473.98,8.14,22.89,3.64,27.6,29.96,4
2020-11-28 08:00:00,487.33,7.03,25.75,3.87,29.66,32.08,4
2020-11-28 09:00:00,500.68,6.34,36.48,4.11,33.94,36.44,4
2020-11-28 10:00:00,507.36,6.08,59.37,4.53,43.14,45.7,4
2020-11-28 11:00:00,453.95,4.33,91.55,5.96,46.76,48.75,4
2020-11-28 12:00:00,447.27,3.3,113.01,6.62,55.84,57.69,5
2020-11-28 13:00:00,453.95,3.0,125.89,7.45,64.53,66.43,5
2020-11-28 14:00:00,440.6,2.79,128.75,7.09,63.64,65.46,5
2020-11-28 15:00:00,433.92,2.7199999999999998,128.75,6.5,62.51,64.24,5
2020-11-28 16:00:00,427.25,2.96,123.02,6.08,61.31,63.01,5
2020-11-28 17:00:00,423.91,3.21,113.01,5.66,60.91,62.62,5
2020-11-28 18:00:00,420.57,2.87,101.57,4.77,59.3,60.95,5
2020-11-28 19:00:00,433.92,2.61,98.71,4.35,62.68,64.37,5
2020-11-28 20:00:00,447.27,2.51,100.14,4.65,67.63,69.34,5
2020-11-28 21:00:00,447.27,2.49,97.28,4.59,64.6,66.25,5
2020-11-28 22:00:00,440.6,2.5700000000000003,89.41,4.29,58.3,59.88,5
2020-11-28 23:00:00,447.27,2.83,78.68,4.05,52.24,53.76,5
2020-11-29 00:00:00,447.27,3.21,67.23,3.73,45.6,47.02,4
2020-11-29 01:00:00,447.27,3.9,55.79,3.58,39.88,41.27,4
2020-11-29 02:00:00,453.95,4.88,46.49,3.46,36.77,38.2,4
2020-11-29 03:00:00,467.3,5.91,39.34,3.46,35.57,37.06,4
2020-11-29 04:00:00,480.65,6.68,35.76,3.58,35.2,36.76,4
2020-11-29 05:00:00,494.0,7.03,33.98,3.58,35.6,37.22,4
2020-11-29 06:00:00,494.0,7.11,32.9,3.55,36.27,37.94,4
2020-11-29 07:00:00,500.68,7.37,32.54,3.55,37.26,39.05,4
2020-11-29 08:00:00,507.36,7.03,33.26,3.7,38.29,40.21,4
2020-11-29 09:00:00,507.36,6.0,38.27,3.93,40.42,42.43,4
2020-11-29 10:00:00,507.36,5.1,51.5,4.23,45.37,47.44,4
2020-11-29 11:00:00,480.65,3.98,75.82,5.96,50.07,51.89,5
2020-11-29 12:00:00,480.65,3.21,94.41,7.09,60.37,62.18,5
2020-11-29 13:00:00,500.68,3.09,107.29,8.58,71.21,73.1,5
2020-11-29 14:00:00,507.36,3.56,111.58,9.89,73.38,75.28,5
2020-11-29 15:00:00,500.68,4.24,110.15,10.49,72.09,74.02,5
2020-11-29 16:00:00,507.36,4.97,105.86,11.21,72.0,74.02,5
2020-11-29 17:00:00,520.71,5.18,98.71,9.42,71.22,73.41,5
2020-11-29 18:00:00,527.38,4.97,86.55,5.9,69.23,71.65,5
2020-11-29 19:00:00,520.71,4.41,78.68,3.67,68.31,70.94,5
2020-11-29 20:00:00,514.03,3.56,80.11,2.95,72.04,74.61,5
2020-11-29 21:00:00,514.03,2.87,87.26,3.76,78.55,81.04,5
2020-11-29 22:00:00,507.36,2.5700000000000003,97.28,5.6,86.08,88.76,5
2020-11-29 23:00:00,500.68,2.51,107.29,7.45,91.64,94.71,5
2020-11-30 00:00:00,500.68,2.4,110.15,7.45,94.97,98.3,5
2020-11-30 01:00:00,507.36,2.46,107.29,7.45,96.1,99.67,5
2020-11-30 02:00:00,514.03,2.64,101.57,7.45,95.34,99.11,5
2020-11-30 03:00:00,534.06,2.74,97.28,7.63,98.0,102.07,5
2020-11-30 04:00:00,554.09,2.79,95.84,7.57,104.68,109.05,5
2020-11-30 05:00:00,567.44,2.7199999999999998,94.41,7.09,108.02,112.39,5
2020-11-30 06:00:00,560.76,2.79,90.12,6.62,101.92,106.01,5
2020-11-30 07:00:00,540.73,3.21,83.69,6.44,91.0,94.79,5
2020-11-30 08:00:00,534.06,4.07,75.1,6.68,81.03,84.76,5
2020-11-30 09:00:00,520.71,4.33,72.24,7.09,75.32,79.13,5
2020-11-30 10:00:00,514.03,3.98,79.39,7.99,75.81,79.72,5
2020-11-30 11:00:00,500.68,3.26,95.84,8.94,77.35,81.07,5
2020-11-30 12:00:00,494.0,2.74,110.15,9.78,82.41,86.16,5
2020-11-30 13:00:00,494.0,2.7199999999999998,121.59,11.21,88.03,91.9,5
2020-11-30 14:00:00,494.0,3.04,128.75,12.4,90.86,94.79,5
2020-11-30 15:00:00,500.68,3.86,131.61,13.95,92.38,96.43,5
2020-11-30 16:00:00,507.36,5.23,130.18,15.97,91.64,95.8,5
2020-11-30 17:00:00,527.38,6.26,117.3,13.71,87.61,91.83,5
2020-11-30 18:00:00,540.73,6.08,97.28,7.99,80.76,85.13,5
2020-11-30 19:00:00,527.38,5.01,85.12,4.65,75.52,80.0,5
2020-11-30 20:00:00,514.03,3.9,82.97,4.11,76.54,81.01,5
2020-11-30 21:00:00,514.03,3.47,85.83,5.01,81.43,86.01,5
2020-11-30 22:00:00,514.03,3.3,91.55,6.44,87.29,92.16,5
2020-11-30 23:00:00,507.36,3.21,100.14,8.46,91.63,96.69,5
2020-12-01 00:00:00,500.68,3.04,101.57,9.18,93.09,98.33,5
2020-12-01 01:00:00,500.68,2.91,101.57,10.13,93.46,98.87,5
2020-12-01 02:00:00,494.0,2.96,98.71,10.85,91.44,96.91,5
2020-12-01 03:00:00,494.0,3.0,95.84,10.97,87.74,93.09,5
2020-12-01 04:00:00,494.0,3.04,92.98,10.97,84.9,89.94,5
2020-12-01 05:00:00,494.0,3.0,91.55,10.85,81.43,86.11,5
2020-12-01 06:00:00,494.0,2.96,91.55,10.37,77.81,82.08,5
2020-12-01 07:00:00,494.0,3.13,90.84,9.42,74.06,78.2,5
2020-12-01 08:00:00,494.0,3.56,90.84,8.58,70.64,74.73,5
2020-12-01 09:00:00,494.0,3.86,87.98,8.35,68.68,72.95,5
2020-12-01 10:00:00,494.0,3.81,90.12,8.7,69.1,73.55,5
2020-12-01 11:00:00,480.65,3.34,103.0,8.94,71.05,75.38,5
2020-12-01 12:00:00,473.98,3.26,110.15,9.3,72.82,77.17,5
2020-12-01 13:00:00,473.98,3.34,115.87,9.78,74.23,78.59,5
2020-12-01 14:00:00,467.3,3.68,120.16,10.25,76.1,80.53,5
2020-12-01 15:00:00,473.98,4.2,123.02,11.21,78.79,83.41,5
2020-12-01 16:00:00,473.98,5.01,123.02,12.4,81.54,86.41,5
2020-12-01 17:00:00,473.98,5.57,121.59,12.88,82.77,87.88,5
2020-12-01 18:00:00,473.98,5.57,118.73,12.64,84.11,89.47,5
2020-12-01 19:00:00,480.65,5.48,115.87,12.04,85.73,91.44,5
2020-12-01 20:00:00,500.68,5.06,108.72,9.78,88.6,94.77,5
2020-12-01 21:00:00,520.71,4.8,97.28,7.63,91.85,98.53,5
2020-12-01 22:00:00,534.06,4.71,86.55,6.97,94.79,101.91,5
