time,co,no2,o3,so2,pm2_5,pm10,aqi
2020-11-28 00:00:00,243.66,1.3599999999999999,59.37,0.56,3.64,3.92,1
2020-11-28 01:00:00,233.65,0.85,59.37,0.42,3.15,3.35,1
2020-11-28 02:00:00,233.65,0.65,60.08,0.38,2.8200000000000003,2.98,1
2020-11-28 03:00:00,236.99,0.59,59.37,0.39,2.85,3.01,1
2020-11-28 04:00:00,243.66,0.58,58.65,0.41000000000000003,3.04,3.2,1
2020-11-28 05:00:00,250.34,0.64,57.22,0.42,3.23,3.41,1
2020-11-28 06:00:00,260.35,0.81,53.64,0.45,3.22,3.4,1
2020-11-28 07:00:00,277.04,1.48,50.07,0.58,3.03,3.25,1
2020-11-28 08:00:00,293.73,2.34,47.92,0.73,2.76,2.98,1
2020-11-28 09:00:00,290.39,2.21,47.21,0.6900000000000001,2.39,2.58,1
2020-11-28 10:00:00,283.72,1.65,46.49,0.59,2.24,2.4,1
2020-11-28 11:00:00,290.39,1.52,43.27,0.53,2.44,2.5700000000000003,1
2020-11-28 12:00:00,300.41,1.76,36.48,0.52,3.58,3.7,1
2020-11-28 13:00:00,307.08,2.04,31.83,0.54,5.5600000000000005,5.69,1
2020-11-28 14:00:00,297.07,2.25,28.97,0.59,6.91,7.04,1
2020-11-28 15:00:00,270.37,2.01,31.11,0.58,7.89,8.01,1
2020-11-28 16:00:00,250.34,1.8399999999999999,36.12,0.5700000000000001,7.91,8.02,1
2020-11-28 17:00:00,240.33,1.9500000000000002,40.77,0.59,8.15,8.3,1
2020-11-28 18:00:00,236.99,2.1,42.92,0.62,8.81,9.05,1
2020-11-28 19:00:00,236.99,1.8900000000000001,45.42,0.5700000000000001,9.39,9.73,1
2020-11-28 20:00:00,236.99,1.54,48.64,0.51,9.36,9.76,1
2020-11-28 21:00:00,230.31,1.25,50.78,0.43,8.44,8.79,1
2020-11-28 22:00:00,220.3,1.08,52.21,0.38,6.61,6.88,1
2020-11-28 23:00:00,211.95,0.99,53.64,0.35000000000000003,5.19,5.38,1
2020-11-29 00:00:00,205.28,0.8,53.64,0.29,4.19,4.32,1
2020-11-29 01:00:00,213.62,0.61,55.08,0.25,4.1,4.21,1
2020-11-29 02:00:00,247.0,0.58,56.51,0.28,5.38,5.5,1
2020-11-29 03:00:00,293.73,0.63,57.22,0.35000000000000003,7.47,7.6,1
2020-11-29 04:00:00,337.12,0.6900000000000001,57.22,0.46,10.15,10.31,2
2020-11-29 05:00:00,373.84,0.77,57.22,0.6000000000000001,13.17,13.33,2
2020-11-29 06:00:00,403.88,0.9400000000000001,57.22,0.73,16.8,16.98,2
2020-11-29 07:00:00,440.6,1.63,57.22,0.9,20.71,20.94,3
2020-11-29 08:00:00,480.65,2.5300000000000002,54.36,0.9400000000000001,22.27,22.49,3
2020-11-29 09:00:00,494.0,2.55,49.35,0.8300000000000001,22.26,22.46,3
2020-11-29 10:00:00,480.65,2.1,44.7,0.73,22.86,23.04,3
2020-11-29 11:00:00,447.27,1.74,42.56,0.68,23.4,23.55,3
2020-11-29 12:00:00,400.54,1.46,42.92,0.6000000000000001,22.58,22.71,3
2020-11-29 13:00:00,357.15,1.23,45.06,0.51,19.32,19.43,2
2020-11-29 14:00:00,327.11,1.2,47.21,0.48,16.82,16.93,2
2020-11-29 15:00:00,310.42,1.29,46.49,0.49,14.78,14.91,2
2020-11-29 16:00:00,300.41,1.5,46.49,0.5,13.03,13.15,2
2020-11-29 17:00:00,300.41,1.9100000000000001,46.49,0.54,11.94,12.06,2
2020-11-29 18:00:00,303.75,2.19,45.78,0.58,11.49,11.6,2
2020-11-29 19:00:00,300.41,2.01,46.49,0.56,11.11,11.23,2
2020-11-29 20:00:00,293.73,1.65,49.35,0.49,10.3,10.41,2
2020-11-29 21:00:00,287.06,1.37,51.5,0.45,10.4,10.5,2
2020-11-29 22:00:00,287.06,1.24,52.21,0.44,11.17,11.27,2
2020-11-29 23:00:00,283.72,1.2,52.21,0.43,11.75,11.85,2
2020-11-30 00:00:00,273.71,1.04,52.21,0.39,11.92,12.01,2
2020-11-30 01:00:00,263.69,0.88,52.21,0.38,11.78,11.87,2
2020-11-30 02:00:00,250.34,0.74,52.21,0.34,10.96,11.05,2
2020-11-30 03:00:00,240.33,0.63,52.93,0.29,9.82,9.91,1
2020-11-30 04:00:00,236.99,0.5700000000000001,52.93,0.26,9.64,9.73,1
2020-11-30 05:00:00,240.33,0.62,53.64,0.27,10.79,10.88,2
2020-11-30 06:00:00,250.34,0.8,51.5,0.34,11.61,11.72,2
2020-11-30 07:00:00,267.03,1.56,48.64,0.51,11.04,11.2,2
2020-11-30 08:00:00,287.06,2.5700000000000003,45.78,0.75,9.82,10.02,1
2020-11-30 09:00:00,290.39,2.46,46.49,0.77,8.96,9.15,1
2020-11-30 10:00:00,283.72,1.82,48.64,0.66,8.19,8.35,1
2020-11-30 11:00:00,273.71,1.4100000000000001,51.5,0.5700000000000001,7.05,7.18,1
2020-11-30 12:00:00,260.35,1.27,52.93,0.54,5.78,5.89,1
