time,co,no2,o3,so2,pm2_5,pm10,aqi
2020-11-28 00:00:00,847.82,29.47,15.91,15.26,44.13,52.32,4
2020-11-28 01:00:00,807.76,28.1,13.23,14.54,40.11,47.36,4
2020-11-28 02:00:00,754.36,24.33,13.41,12.52,35.52,41.19,4
2020-11-28 03:00:00,694.28,20.39,14.48,10.01,31.94,36.32,4
2020-11-28 04:00:00,654.22,17.48,15.02,8.23,29.77,33.62,4
2020-11-28 05:00:00,620.84,15.59,15.02,7.21,28.25,31.99,4
2020-11-28 06:00:00,607.49,14.74,14.31,6.74,27.6,31.39,4
2020-11-28 07:00:00,607.49,14.74,13.41,6.62,27.97,31.88,4
2020-11-28 08:00:00,627.52,13.88,15.02,6.8,28.75,33.07,4
2020-11-28 09:00:00,640.87,13.37,18.95,7.33,29.42,34.38,4
2020-11-28 10:00:00,640.87,14.91,22.17,7.99,31.13,36.61,4
2020-11-28 11:00:00,614.17,14.4,27.54,7.45,31.34,36.88,4
2020-11-28 12:00:00,587.46,12.85,33.26,6.97,30.37,36.08,4
2020-11-28 13:00:00,580.79,13.02,36.12,7.51,31.28,37.29,4
2020-11-28 14:00:00,574.11,12.0,41.84,7.63,33.33,39.1,4
2020-11-28 15:00:00,574.11,10.71,50.78,7.33,36.55,42.09,4
2020-11-28 16:00:00,580.79,10.37,58.65,7.27,43.34,48.83,4
2020-11-28 17:00:00,640.87,12.34,51.5,6.38,49.83,55.72,4
2020-11-28 18:00:00,747.68,15.77,34.69,5.42,55.45,62.21,5
2020-11-28 19:00:00,834.47,16.97,25.39,5.07,59.25,66.82,5
2020-11-28 20:00:00,881.2,17.14,21.46,4.89,63.06,71.68,5
2020-11-28 21:00:00,881.2,18.17,23.96,5.42,65.14,74.69,5
2020-11-28 22:00:00,807.76,17.82,37.19,7.63,59.3,67.68,5
2020-11-28 23:00:00,620.84,12.17,54.36,8.7,42.51,47.76,4
2020-11-29 00:00:00,547.41,9.94,49.35,6.91,33.09,37.17,4
2020-11-29 01:00:00,500.68,9.34,42.2,5.9,27.52,30.99,4
2020-11-29 02:00:00,480.65,8.74,37.91,5.19,24.8,27.83,3
2020-11-29 03:00:00,467.3,8.05,36.48,4.59,23.54,26.3,3
2020-11-29 04:00:00,460.63,7.63,35.76,4.29,23.51,26.22,3
2020-11-29 05:00:00,467.3,7.8,32.54,3.87,24.69,27.61,3
2020-11-29 06:00:00,487.33,8.48,26.11,3.46,26.69,30.07,4
2020-11-29 07:00:00,540.73,10.28,19.13,3.46,29.72,33.85,4
2020-11-29 08:00:00,627.52,10.8,16.99,4.17,33.67,38.97,4
2020-11-29 09:00:00,674.25,10.37,24.68,5.19,39.25,45.6,4
2020-11-29 10:00:00,660.9,10.11,42.56,6.5,48.0,54.58,4
2020-11-29 11:00:00,560.76,6.08,75.82,6.5600000000000005,54.1,58.71,5
2020-11-29 12:00:00,527.38,3.51,98.71,5.9,60.7,64.72,5
2020-11-29 13:00:00,520.71,2.36,115.87,5.96,67.88,71.9,5
2020-11-29 14:00:00,514.03,1.9300000000000002,123.02,5.72,69.93,73.78,5
