time,co,no2,o3,so2,pm2_5,pm10,aqi
2020-11-28 00:00:00,447.27,5.48,25.75,1.6800000000000002,13.5,15.36,2
2020-11-28 01:00:00,433.92,5.23,24.68,1.6400000000000001,14.29,16.24,2
2020-11-28 02:00:00,433.92,5.01,23.6,1.57,15.13,17.11,2
2020-11-28 03:00:00,427.25,4.76,22.89,1.46,15.8,17.72,2
2020-11-28 04:00:00,423.91,4.46,22.53,1.33,16.29,18.09,2
2020-11-28 05:00:00,420.57,4.24,22.17,1.25,16.77,18.45,2
2020-11-28 06:00:00,420.57,4.2,21.64,1.27,17.36,19.0,2
2020-11-28 07:00:00,427.25,4.5,21.64,1.3599999999999999,17.84,19.46,2
2020-11-28 08:00:00,433.92,4.88,21.99,1.49,18.16,19.71,2
2020-11-28 09:00:00,433.92,4.76,23.6,1.57,18.93,20.38,2
2020-11-28 10:00:00,433.92,4.2,28.97,1.58,19.58,20.85,2
2020-11-28 11:00:00,413.9,3.38,40.41,1.48,18.29,19.37,2
2020-11-28 12:00:00,397.21,2.7,50.07,1.33,18.32,19.36,2
2020-11-28 13:00:00,383.85,2.34,57.22,1.27,19.78,20.79,2
2020-11-28 14:00:00,363.83,1.99,65.8,1.24,20.11,21.05,3
2020-11-28 15:00:00,353.81,2.04,65.09,1.21,17.86,18.75,2
2020-11-28 16:00:00,350.48,2.44,60.8,1.28,15.56,16.45,2
2020-11-28 17:00:00,353.81,3.0,57.22,1.51,14.59,15.54,2
2020-11-28 18:00:00,370.5,3.6,52.93,1.8599999999999999,15.32,16.43,2
2020-11-28 19:00:00,397.21,4.5,45.78,2.27,16.55,17.85,2
2020-11-28 20:00:00,427.25,5.44,37.19,2.56,17.73,19.13,2
2020-11-28 21:00:00,440.6,5.83,32.54,2.56,18.21,19.56,2
2020-11-28 22:00:00,447.27,5.66,31.83,2.41,18.57,19.87,2
2020-11-28 23:00:00,440.6,5.23,32.9,2.24,19.48,20.74,2
2020-11-29 00:00:00,440.6,4.76,34.33,2.12,20.51,21.71,3
2020-11-29 01:00:00,433.92,4.33,35.41,2.0,21.56,22.68,3
2020-11-29 02:00:00,433.92,3.94,36.12,1.83,21.66,22.69,3
2020-11-29 03:00:00,433.92,3.56,36.84,1.6800000000000002,20.69,21.6,3
2020-11-29 04:00:00,433.92,3.3,37.91,1.65,19.92,20.74,2
2020-11-29 05:00:00,433.92,3.17,37.91,1.6800000000000002,20.07,20.85,3
2020-11-29 06:00:00,440.6,3.21,35.76,1.6099999999999999,20.86,21.68,3
2020-11-29 07:00:00,447.27,3.6,31.83,1.52,22.16,23.09,3
2020-11-29 08:00:00,460.63,3.81,30.4,1.5899999999999999,24.42,25.5,3
2020-11-29 09:00:00,467.3,3.38,34.33,1.76,28.29,29.47,4
2020-11-29 10:00:00,467.3,2.83,43.63,1.9100000000000001,33.1,34.34,4
2020-11-29 11:00:00,460.63,1.8399999999999999,57.22,2.06,35.59,36.71,4
2020-11-29 12:00:00,453.95,1.13,67.95,2.06,35.7,36.71,4
2020-11-29 13:00:00,453.95,0.85,75.1,2.15,37.9,38.92,4
