time,co,no2,o3,so2,pm2_5,pm10,aqi
2020-11-28 00:00:00,433.92,4.58,90.84,4.29,29.04,40.47,4
2020-11-28 01:00:00,390.53,2.68,100.14,3.93,30.83,42.54,4
2020-11-28 02:00:00,390.53,2.23,107.29,4.29,34.69,47.12,4
2020-11-28 03:00:00,393.87,2.19,107.29,4.71,37.55,51.77,4
2020-11-28 04:00:00,390.53,2.21,104.43,5.31,38.65,55.01,4
2020-11-28 05:00:00,393.87,2.34,100.14,6.32,40.65,59.5,4
2020-11-28 06:00:00,420.57,2.74,95.84,7.75,43.43,60.48,4
2020-11-28 07:00:00,460.63,3.73,94.41,8.11,43.34,54.04,4
2020-11-28 08:00:00,494.0,4.93,91.55,7.75,40.0,45.79,4
2020-11-28 09:00:00,507.36,5.57,87.98,7.87,38.54,42.88,4
2020-11-28 10:00:00,520.71,5.74,81.54,8.58,41.65,47.92,4
2020-11-28 11:00:00,547.41,6.43,75.1,10.01,50.11,59.77,5
2020-11-28 12:00:00,587.46,7.45,76.53,11.8,64.53,78.63,5
2020-11-28 13:00:00,640.87,8.31,88.69,13.11,80.79,97.53,5
2020-11-28 14:00:00,694.28,9.34,104.43,13.47,92.97,110.11,5
2020-11-28 15:00:00,734.33,10.97,115.87,12.88,94.09,106.63,5
2020-11-28 16:00:00,761.03,12.68,117.3,11.68,87.73,96.06,5
2020-11-28 17:00:00,761.03,14.22,110.15,10.25,76.01,82.11,5
2020-11-28 18:00:00,734.33,13.54,103.0,8.82,65.51,70.64,5
2020-11-28 19:00:00,694.28,11.14,100.14,7.75,59.71,64.72,5
2020-11-28 20:00:00,634.19,9.17,92.98,6.8,51.26,56.36,5
2020-11-28 21:00:00,580.79,8.57,78.68,5.9,39.03,44.94,4
2020-11-28 22:00:00,547.41,8.74,65.8,5.42,29.14,34.79,4
2020-11-28 23:00:00,540.73,8.14,63.66,5.07,26.16,32.03,4
2020-11-29 00:00:00,540.73,6.6,67.23,4.83,27.18,33.96,4
2020-11-29 01:00:00,540.73,5.27,71.53,4.89,30.33,38.46,4
2020-11-29 02:00:00,540.73,4.67,73.67,5.25,33.07,41.82,4
2020-11-29 03:00:00,534.06,4.37,72.96,5.42,32.72,40.62,4
2020-11-29 04:00:00,520.71,3.94,72.96,5.25,31.91,38.76,4
2020-11-29 05:00:00,500.68,3.47,73.67,4.83,31.72,37.62,4
2020-11-29 06:00:00,487.33,3.3,75.1,4.53,31.59,36.3,4
2020-11-29 07:00:00,514.03,4.33,75.1,4.65,32.19,36.33,4
2020-11-29 08:00:00,560.76,6.0,71.53,5.25,33.67,37.99,4
2020-11-29 09:00:00,580.79,6.26,69.38,5.96,36.19,40.29,4
2020-11-29 10:00:00,574.11,5.74,71.53,6.38,40.84,44.2,4
2020-11-29 11:00:00,580.79,5.74,75.82,6.86,48.7,51.53,4
2020-11-29 12:00:00,600.82,5.74,83.69,7.27,58.83,61.45,5
2020-11-29 13:00:00,620.84,5.66,90.84,7.57,68.61,71.28,5
2020-11-29 14:00:00,654.22,6.26,92.98,7.99,76.48,79.15,5
2020-11-29 15:00:00,680.92,6.86,90.12,8.23,79.8,82.61,5
2020-11-29 16:00:00,707.63,7.45,84.4,8.23,80.67,83.67,5
2020-11-29 17:00:00,741.01,8.65,79.39,7.99,80.98,84.41,5
2020-11-29 18:00:00,794.41,10.11,74.39,8.11,80.95,84.64,5
2020-11-29 19:00:00,807.76,10.11,72.96,8.11,81.81,85.65,5
2020-11-29 20:00:00,781.06,8.57,77.25,8.11,84.09,87.87,5
2020-11-29 21:00:00,741.01,6.77,84.4,7.99,85.12,88.56,5
2020-11-29 22:00:00,707.63,5.91,87.26,7.87,82.78,86.18,5
2020-11-29 23:00:00,674.25,5.4,85.12,7.39,76.07,79.17,5
2020-11-30 00:00:00,607.49,4.41,80.11,5.9,62.67,65.26,5
2020-11-30 01:00:00,527.38,4.11,69.38,4.47,43.06,45.96,4
