time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2024-12-07T00:00,26.4,90,24.7,0.0,1008.3,84,2.1,211
2024-12-07T01:00,26.3,92,24.9,0.0,1008.0,95,1.5,225
2024-12-07T02:00,26.2,92,24.8,0.0,1007.7,93,1.3,304
2024-12-07T03:00,25.8,94,24.8,0.0,1007.4,94,1.8,349
2024-12-07T04:00,25.6,95,24.8,0.0,1007.4,71,2.3,18
2024-12-07T05:00,25.6,95,24.8,0.0,1007.8,72,2.2,9
2024-12-07T06:00,25.5,95,24.6,0.0,1008.0,77,2.5,8
2024-12-07T07:00,26.0,93,24.8,0.0,1009.2,63,1.8,37
2024-12-07T08:00,27.4,88,25.2,0.0,1009.7,82,4.1,45
2024-12-07T09:00,28.7,82,25.3,0.0,1009.8,36,4.6,45
2024-12-07T10:00,29.8,76,25.2,0.0,1009.2,74,4.1,38
2024-12-07T11:00,30.4,73,25.0,0.1,1008.3,100,4.9,36
2024-12-07T12:00,30.8,72,25.2,0.2,1007.9,98,5.0,30
2024-12-07T13:00,30.8,74,25.7,0.0,1007.6,97,5.4,340
2024-12-07T14:00,30.9,74,25.8,0.1,1006.4,100,5.3,332
2024-12-07T15:00,31.0,72,25.4,0.3,1005.9,100,5.2,335
2024-12-07T16:00,30.5,73,25.2,0.1,1005.8,100,5.8,338
2024-12-07T17:00,29.5,78,25.3,2.0,1006.4,100,5.4,352
2024-12-07T18:00,28.5,84,25.6,1.8,1007.4,100,1.5,45
2024-12-07T19:00,28.4,86,25.8,3.6,1008.3,100,1.4,90
2024-12-07T20:00,27.8,90,26.1,1.0,1008.9,100,1.1,162
2024-12-07T21:00,27.8,90,26.0,0.4,1009.3,100,0.8,117
2024-12-07T22:00,27.5,92,26.1,0.5,1009.1,100,0.7,360
2024-12-07T23:00,27.4,90,25.7,0.0,1008.9,62,0.7,270
2024-12-08T00:00,27.3,88,25.1,0.0,1008.2,74,1.8,270
2024-12-08T01:00,26.5,91,25.0,0.0,1008.2,18,4.2,301
2024-12-08T02:00,26.1,93,24.9,0.0,1007.5,26,4.6,315
2024-12-08T03:00,25.7,88,23.6,0.0,1007.2,41,5.3,332
2024-12-08T04:00,25.2,84,22.4,0.0,1007.0,95,5.4,340
2024-12-08T05:00,24.8,82,21.6,0.0,1007.5,99,4.4,351
2024-12-08T06:00,24.5,83,21.4,0.0,1008.1,93,3.6,354
2024-12-08T07:00,24.8,87,22.5,0.0,1009.3,35,3.6,360
2024-12-08T08:00,26.0,80,22.3,0.0,1009.9,100,5.7,18
2024-12-08T09:00,27.0,78,22.8,0.0,1010.0,100,7.1,30
2024-12-08T10:00,27.7,77,23.3,0.0,1009.7,100,7.0,35
2024-12-08T11:00,28.5,77,24.1,0.0,1009.1,100,6.9,28
2024-12-08T12:00,29.3,74,24.2,0.0,1008.5,100,7.6,25
2024-12-08T13:00,30.5,68,23.9,0.0,1007.8,100,9.3,16
2024-12-08T14:00,30.9,64,23.3,0.0,1006.7,100,9.8,24
2024-12-08T15:00,31.1,61,22.7,0.0,1006.1,100,8.6,33
2024-12-08T16:00,31.0,62,22.9,0.0,1005.9,100,3.1,54
2024-12-08T17:00,30.6,67,23.8,0.0,1006.7,100,2.4,27
2024-12-08T18:00,29.6,65,22.3,0.0,1007.6,100,9.4,23
2024-12-08T19:00,28.0,66,21.1,0.0,1008.7,100,11.0,11
2024-12-08T20:00,27.1,68,20.7,0.0,1009.0,100,9.7,2
2024-12-08T21:00,26.2,72,20.8,0.0,1008.8,100,8.4,20
2024-12-08T22:00,25.7,74,20.7,0.0,1008.6,100,7.1,24
2024-12-08T23:00,25.3,75,20.6,0.0,1008.6,100,6.8,25
2024-12-09T00:00,25.1,75,20.4,0.0,1008.4,100,6.6,9
2024-12-09T01:00,24.9,76,20.4,0.0,1007.9,100,6.3,13
2024-12-09T02:00,24.7,77,20.4,0.0,1007.2,100,6.1,3
2024-12-09T03:00,24.5,77,20.2,0.0,1006.6,100,5.8,4
2024-12-09T04:00,24.1,79,20.3,0.0,1006.6,82,5.4,360
