time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2024-12-07T00:00,19.0,87,16.7,0.0,911.3,84,5.8,120
2024-12-07T01:00,19.0,87,16.7,0.0,911.3,79,5.4,127
2024-12-07T02:00,18.8,87,16.6,0.0,911.0,95,5.4,132
2024-12-07T03:00,18.8,87,16.5,0.0,911.0,89,5.6,130
2024-12-07T04:00,18.7,86,16.3,0.0,911.1,86,5.6,135
2024-12-07T05:00,18.6,86,16.2,0.0,911.1,89,5.6,140
2024-12-07T06:00,18.4,87,16.2,0.0,911.4,92,5.2,146
2024-12-07T07:00,18.5,89,16.7,0.0,912.2,100,4.3,138
2024-12-07T08:00,18.8,90,17.1,0.0,913.3,79,6.0,147
2024-12-07T09:00,19.7,85,17.1,0.0,914.5,83,8.0,162
2024-12-07T10:00,20.1,83,17.1,0.0,914.6,84,8.9,166
2024-12-07T11:00,20.6,81,17.2,0.0,914.0,80,8.7,163
2024-12-07T12:00,21.3,79,17.5,0.0,913.6,78,8.0,153
2024-12-07T13:00,22.0,77,17.8,0.0,912.8,96,8.2,151
2024-12-07T14:00,21.6,79,17.8,0.0,912.0,89,7.3,160
2024-12-07T15:00,21.7,78,17.7,0.0,911.7,88,6.3,156
2024-12-07T16:00,21.6,79,17.8,0.0,911.7,70,5.6,153
2024-12-07T17:00,20.7,85,18.1,0.0,911.9,72,4.0,153
2024-12-07T18:00,20.1,85,17.5,0.0,912.4,80,4.7,122
2024-12-07T19:00,20.4,81,17.0,0.0,913.2,83,5.7,108
2024-12-07T20:00,20.0,82,16.8,0.0,913.8,74,6.0,115
2024-12-07T21:00,19.6,82,16.4,0.0,914.1,73,6.6,131
2024-12-07T22:00,19.0,81,15.7,0.0,914.1,80,7.9,137
2024-12-07T23:00,18.6,80,15.0,0.0,914.1,86,7.9,137
2024-12-08T00:00,18.1,80,14.6,0.0,914.1,91,8.1,135
2024-12-08T01:00,17.8,81,14.5,0.0,914.1,85,7.1,131
2024-12-08T02:00,17.5,82,14.4,0.0,913.8,81,6.9,137
2024-12-08T03:00,17.2,83,14.2,0.0,913.4,80,6.3,149
2024-12-08T04:00,16.8,84,14.1,0.0,913.6,80,7.0,145
2024-12-08T05:00,16.6,84,13.9,0.0,913.7,82,7.1,139
2024-12-08T06:00,16.4,83,13.5,0.0,914.1,83,7.4,137
2024-12-08T07:00,16.3,83,13.4,0.0,915.0,82,6.6,135
2024-12-08T08:00,16.9,83,14.0,0.0,915.8,96,7.0,145
2024-12-08T09:00,17.2,81,13.9,0.0,916.5,89,7.5,163
2024-12-08T10:00,17.4,81,14.1,0.0,916.7,88,7.7,169
2024-12-08T11:00,17.9,80,14.4,0.0,916.1,84,8.4,170
2024-12-08T12:00,17.8,81,14.5,0.0,915.7,90,9.0,178
2024-12-08T13:00,18.1,81,14.7,0.0,914.5,82,8.6,182
