time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2024-12-07T00:00,22.8,88,20.8,0.1,1013.6,99,7.8,68
2024-12-07T01:00,22.7,89,20.8,0.3,1013.8,99,5.3,62
2024-12-07T02:00,22.4,91,20.9,0.3,1013.3,100,6.4,47
2024-12-07T03:00,22.2,89,20.3,0.1,1013.3,100,9.2,42
2024-12-07T04:00,21.9,87,19.7,0.0,1013.4,100,12.3,52
2024-12-07T05:00,21.9,87,19.6,0.0,1013.5,100,8.8,71
2024-12-07T06:00,22.2,87,20.0,0.0,1013.8,95,4.8,63
2024-12-07T07:00,22.1,91,20.6,0.1,1014.8,95,4.8,42
2024-12-07T08:00,22.4,91,20.9,0.4,1016.1,93,6.0,33
2024-12-07T09:00,22.3,90,20.6,0.4,1017.1,98,7.7,28
2024-12-07T10:00,22.0,89,20.1,0.1,1017.2,100,8.2,23
2024-12-07T11:00,21.8,89,20.0,0.1,1016.4,100,7.5,35
2024-12-07T12:00,22.2,88,20.1,0.1,1015.9,100,8.1,45
2024-12-07T13:00,22.5,87,20.3,0.0,1014.7,100,9.2,42
2024-12-07T14:00,22.2,86,19.7,0.0,1014.1,99,9.1,34
2024-12-07T15:00,21.8,86,19.3,0.0,1014.1,100,8.9,21
2024-12-07T16:00,21.1,85,18.5,0.0,1014.9,100,9.6,13
2024-12-07T17:00,20.2,83,17.2,0.0,1015.5,99,10.2,8
2024-12-07T18:00,19.4,80,15.9,0.0,1016.2,98,9.1,9
2024-12-07T19:00,19.8,83,16.9,0.0,1016.7,93,6.9,9
2024-12-07T20:00,19.3,80,15.8,0.0,1017.6,94,8.6,2
2024-12-07T21:00,18.8,79,15.1,0.0,1018.1,92,8.7,5
2024-12-07T22:00,18.4,79,14.7,0.0,1018.3,91,8.4,10
2024-12-07T23:00,18.1,77,14.0,0.0,1018.2,92,9.1,9
2024-12-08T00:00,17.7,76,13.5,0.0,1018.3,97,8.7,7
2024-12-08T01:00,17.7,77,13.6,0.0,1018.5,97,9.4,360
2024-12-08T02:00,17.3,76,13.1,0.0,1018.4,98,10.1,2
2024-12-08T03:00,17.1,76,12.9,0.0,1018.2,97,10.1,2
2024-12-08T04:00,16.9,75,12.4,0.0,1018.3,100,10.4,360
2024-12-08T05:00,16.7,73,11.8,0.0,1018.8,100,10.4,360
2024-12-08T06:00,16.5,72,11.4,0.0,1019.3,100,10.1,360
2024-12-08T07:00,16.5,75,12.0,0.0,1020.3,100,9.0,360
2024-12-08T08:00,16.4,75,12.0,0.0,1021.1,100,9.0,358
2024-12-08T09:00,16.4,75,12.0,0.0,1021.9,100,8.7,355
2024-12-08T10:00,16.6,77,12.6,0.0,1021.8,100,8.4,350
2024-12-08T11:00,17.0,76,12.8,0.0,1021.1,100,8.5,348
2024-12-08T12:00,17.3,75,12.9,0.0,1020.5,100,8.6,345
