time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2024-12-07T00:00,26.1,89,24.2,0.3,1008.8,78,7.2,84
2024-12-07T01:00,26.3,87,23.9,0.0,1008.6,97,5.4,98
2024-12-07T02:00,26.2,89,24.3,0.0,1008.1,81,4.7,94
2024-12-07T03:00,26.1,90,24.3,0.0,1007.6,73,4.1,105
2024-12-07T04:00,26.0,92,24.6,0.0,1007.5,51,4.2,110
2024-12-07T05:00,25.8,93,24.6,0.0,1007.9,47,4.2,110
2024-12-07T06:00,25.7,94,24.6,0.0,1008.1,53,4.3,90
2024-12-07T07:00,26.1,93,24.9,0.0,1009.3,56,5.4,86
2024-12-07T08:00,27.0,89,25.0,0.1,1009.8,76,9.1,83
2024-12-07T09:00,27.8,84,24.9,0.2,1010.1,89,9.3,74
2024-12-07T10:00,28.8,80,25.0,0.1,1009.7,93,9.2,69
2024-12-07T11:00,29.3,77,24.9,0.2,1009.0,100,8.7,66
2024-12-07T12:00,30.5,73,25.1,0.2,1008.4,100,7.6,65
2024-12-07T13:00,30.6,72,24.9,0.1,1008.0,93,9.1,72
2024-12-07T14:00,30.6,71,24.8,0.3,1006.8,100,9.3,77
2024-12-07T15:00,30.3,71,24.5,0.3,1006.2,98,6.9,84
2024-12-07T16:00,29.8,75,24.9,0.1,1005.9,100,6.1,90
2024-12-07T17:00,29.2,79,25.2,1.0,1006.7,100,4.7,67
2024-12-07T18:00,28.1,85,25.3,3.0,1007.9,100,5.5,67
2024-12-07T19:00,27.8,86,25.3,3.5,1008.7,100,4.7,99
2024-12-07T20:00,27.3,87,25.0,2.3,1009.5,100,6.2,111
2024-12-07T21:00,26.9,86,24.3,2.3,1009.9,100,6.5,109
2024-12-07T22:00,26.4,87,24.1,1.2,1009.7,100,5.0,120
2024-12-07T23:00,26.2,88,24.1,0.0,1009.3,100,4.3,138
2024-12-08T00:00,26.0,89,24.1,0.0,1008.6,100,3.9,158
2024-12-08T01:00,26.1,89,24.1,0.0,1008.7,96,1.5,166
2024-12-08T02:00,26.0,90,24.2,0.0,1008.1,100,0.7,180
2024-12-08T03:00,25.8,90,24.0,0.0,1007.7,100,1.1,288
2024-12-08T04:00,25.6,92,24.2,0.0,1007.5,61,1.5,315
2024-12-08T05:00,25.6,93,24.4,0.0,1008.0,72,1.8,323
2024-12-08T06:00,25.7,92,24.3,0.0,1008.5,100,2.6,344
2024-12-08T07:00,26.0,93,24.7,0.0,1009.8,72,5.1,8
2024-12-08T08:00,26.9,83,23.7,0.0,1010.3,59,9.2,21
2024-12-08T09:00,27.7,73,22.4,0.0,1010.5,49,10.8,30
2024-12-08T10:00,28.7,68,22.2,0.0,1010.2,90,11.4,35
2024-12-08T11:00,29.9,64,22.4,0.0,1009.5,76,11.2,33
2024-12-08T12:00,30.9,60,22.2,0.0,1008.6,100,11.2,33
2024-12-08T13:00,32.0,55,21.8,0.0,1007.8,100,11.4,28
2024-12-08T14:00,32.3,53,21.5,0.0,1006.5,100,11.8,31
2024-12-08T15:00,32.3,53,21.5,0.0,1006.2,100,12.4,36
2024-12-08T16:00,31.7,55,21.5,0.0,1006.1,100,13.1,37
2024-12-08T17:00,30.8,58,21.5,0.0,1007.0,100,12.0,41
2024-12-08T18:00,29.8,63,22.0,0.0,1007.8,100,8.7,48
2024-12-08T19:00,29.0,69,22.7,0.0,1008.7,100,5.4,48
2024-12-08T20:00,28.5,73,23.2,0.0,1009.1,100,4.2,31
2024-12-08T21:00,28.2,74,23.1,0.0,1009.1,100,5.2,16
2024-12-08T22:00,27.8,74,22.8,0.0,1009.1,100,7.3,20
2024-12-08T23:00,27.3,74,22.3,0.0,1008.8,100,8.2,29
2024-12-09T00:00,26.9,75,22.1,0.0,1009.0,100,8.3,34
2024-12-09T01:00,26.4,75,21.6,0.0,1008.3,100,7.4,23
2024-12-09T02:00,25.9,75,21.1,0.0,1007.7,100,7.1,24
2024-12-09T03:00,25.5,76,21.0,0.0,1007.3,100,7.1,15
2024-12-09T04:00,25.1,77,20.7,0.0,1007.2,100,8.4,7
2024-12-09T05:00,24.8,78,20.7,0.0,1007.5,100,8.0,10
2024-12-09T06:00,24.5,79,20.6,0.0,1008.0,100,8.4,7
2024-12-09T07:00,24.5,79,20.6,0.0,1008.7,68,8.0,5
2024-12-09T08:00,25.4,75,20.7,0.0,1009.6,37,9.4,7
2024-12-09T09:00,26.8,70,20.8,0.0,1009.7,19,10.5,4
2024-12-09T10:00,28.3,64,20.9,0.0,1009.5,94,10.6,10
2024-12-09T11:00,29.7,60,21.1,0.0,1009.0,100,10.0,13
2024-12-09T12:00,30.9,57,21.4,0.0,1008.1,17,9.2,11
2024-12-09T13:00,31.8,54,21.4,0.0,1007.1,100,8.2,15
2024-12-09T14:00,32.0,52,20.9,0.0,1006.0,100,8.7,30
2024-12-09T15:00,32.0,51,20.6,0.0,1005.5,100,9.3,28
2024-12-09T16:00,31.6,53,20.9,0.0,1005.7,100,10.2,23
2024-12-09T17:00,31.0,55,20.9,0.0,1006.3,100,9.9,19
2024-12-09T18:00,30.0,61,21.6,0.0,1007.0,100,5.7,18
2024-12-09T19:00,29.2,66,22.2,0.0,1007.7,100,4.7,4
2024-12-09T20:00,28.6,70,22.6,0.0,1008.2,100,5.7,342
2024-12-09T21:00,28.2,72,22.6,0.0,1008.5,100,5.8,338
