time,co,no2,o3,so2,pm2_5,pm10
2024-12-15T00:00,977.46,14.35,23.64,6.99,78.47,91.28
2024-12-15T01:00,1020.51,15.08,22.8,7.26,80.11,93.11
2024-12-15T02:00,969.12,13.65,24.65,6.67,77.09,89.89
2024-12-15T03:00,825.28,10.71,27.9,5.71,67.95,78.95
2024-12-15T04:00,698.22,8.81,31.2,5.64,57.37,66.74
2024-12-15T05:00,638.54,8.6,35.23,5.97,53.86,61.8
2024-12-15T06:00,652.12,9.49,37.15,6.64,55.62,63.63
2024-12-15T07:00,680.43,10.06,37.89,6.63,58.54,66.61
2024-12-15T08:00,684.32,9.76,38.05,6.83,57.38,65.2
2024-12-15T09:00,657.78,8.31,39.76,6.89,53.13,60.05
2024-12-15T10:00,665.35,8.35,42.96,7.64,50.8,57.63
2024-12-15T11:00,702.61,9.53,45.47,8.2,50.69,57.54
2024-12-15T12:00,724.74,10.83,45.94,8.6,49.72,57.66
2024-12-15T13:00,745.02,10.38,50.34,9.07,50.65,62.17
2024-12-15T14:00,790.05,11.35,53.02,9.98,49.98,63.71
2024-12-15T15:00,803.08,13.2,54.62,10.98,46.26,59.59
2024-12-15T16:00,868.11,16.02,50.34,11.83,51.7,64.54
2024-12-15T17:00,988.76,19.85,42.58,12.85,61.47,73.54
2024-12-15T18:00,1167.74,23.76,34.16,13.29,75.48,88.12
2024-12-15T19:00,1445.33,29.85,29.14,15.57,94.74,111.94
2024-12-15T20:00,1618.86,34.22,24.0,16.82,105.03,125.67
2024-12-15T21:00,1700.39,36.51,19.54,17.09,109.86,132.31
2024-12-15T22:00,1778.43,36.99,15.72,16.45,119.61,141.98
2024-12-15T23:00,1775.49,36.13,14.82,15.2,121.93,142.17
2024-12-16T00:00,1871.98,34.53,13.88,12.9,136.31,154.62
2024-12-16T01:00,1816.76,30.15,14.26,10.18,139.16,155.5
2024-12-16T02:00,1716.45,27.11,14.03,8.54,136.79,151.23
2024-12-16T03:00,1666.27,26.68,13.29,8.24,136.18,150.54
2024-12-16T04:00,1643.07,25.24,12.76,7.4,135.5,149.3
2024-12-16T05:00,1631.29,24.48,13.15,7.26,134.59,148.48
2024-12-16T06:00,1681.26,25.28,12.68,7.65,136.16,150.94
2024-12-16T07:00,1710.68,25.66,11.99,7.71,137.92,153.73
2024-12-16T08:00,1716.71,25.36,12.81,8.24,139.96,157.05
2024-12-16T09:00,1580.88,23.05,18.27,9.31,131.73,148.96
2024-12-16T10:00,1337.93,19.52,28.24,10.49,112.18,128.61
2024-12-16T11:00,966.94,13.96,45.43,11.01,78.6,92.64
2024-12-16T12:00,721.71,8.72,64.04,10.69,55.57,67.79
2024-12-16T13:00,595.78,5.64,83.29,10.69,44.54,54.15
2024-12-16T14:00,584.27,5.49,95.47,11.26,43.61,52.79
2024-12-16T15:00,619.09,6.75,100.67,12.02,45.62,54.99
2024-12-16T16:00,710.71,9.09,98.72,12.63,51.03,61.95
2024-12-16T17:00,888.91,14.49,91.03,14.07,60.61,74.62
2024-12-16T18:00,1363.52,28.09,73.51,18.05,89.48,109.58
2024-12-16T19:00,2274.75,49.43,49.01,24.85,149.05,180.89
2024-12-16T20:00,3083.54,66.24,28.68,28.48,204.02,247.38
2024-12-16T21:00,3146.33,69.4,22.63,27.8,214.09,258.18
2024-12-16T22:00,3059.68,65.18,16.18,23.72,219.2,259.96
2024-12-16T23:00,2915.1,58.87,13.74,20.1,219.13,257.43
2024-12-17T00:00,2748.94,53.6,10.64,17.41,210.41,246.29
2024-12-17T01:00,2625.65,49.03,7.63,15.08,201.74,236.0
2024-12-17T02:00,2509.5,43.69,5.82,12.55,196.75,227.99
2024-12-17T03:00,2335.23,38.47,6.25,10.72,189.44,217.49
2024-12-17T04:00,2203.49,35.19,7.18,9.79,184.19,209.61
2024-12-17T05:00,2101.86,33.1,8.09,9.11,180.35,204.24
2024-12-17T06:00,2036.82,31.61,7.52,8.52,174.95,197.13
2024-12-17T07:00,1999.14,30.54,6.52,8.11,169.83,190.93
2024-12-17T08:00,2034.41,30.82,6.44,9.02,171.6,192.98
2024-12-17T09:00,1963.77,29.66,13.29,11.89,167.81,188.76
2024-12-17T10:00,1708.93,27.47,30.65,15.89,147.94,170.18
2024-12-17T11:00,1209.11,21.2,67.96,18.99,106.98,127.31
2024-12-17T12:00,928.66,15.68,105.66,20.12,92.23,107.92
2024-12-17T13:00,746.37,12.71,127.05,20.81,87.12,98.8
2024-12-17T14:00,689.5,11.96,138.77,21.5,90.2,99.97
2024-12-17T15:00,684.84,11.92,145.19,21.7,94.77,104.54
2024-12-17T16:00,741.47,13.19,144.97,21.56,99.42,108.9
2024-12-17T17:00,889.87,18.4,133.5,22.13,104.51,114.1
2024-12-17T18:00,1266.82,31.12,106.44,24.09,118.05,132.25
2024-12-17T19:00,1901.55,49.58,63.72,27.22,148.94,173.09
2024-12-17T20:00,2516.81,61.0,33.17,27.42,184.01,216.75
2024-12-17T21:00,2841.25,62.67,18.6,25.19,204.42,240.25
2024-12-17T22:00,2674.86,55.44,17.22,21.99,202.45,234.95
2024-12-17T23:00,2420.45,48.3,17.5,19.28,196.49,223.65
2024-12-18T00:00,2346.46,42.71,17.17,16.45,202.54,226.85
2024-12-18T01:00,2397.34,39.72,14.37,13.79,211.34,235.43
2024-12-18T02:00,2445.79,38.62,10.34,12.66,209.92,234.6
2024-12-18T03:00,2321.77,35.19,8.6,11.0,196.12,217.85
2024-12-18T04:00,2139.29,31.9,8.6,10.01,179.02,196.96
