time,co,no2,o3,so2,pm2_5,pm10
2024-12-15T00:00,698.95,12.32,45.86,5.19,40.89,46.28
2024-12-15T01:00,658.86,11.62,48.08,5.01,37.94,43.34
2024-12-15T02:00,709.66,12.82,45.37,5.38,41.59,48.32
2024-12-15T03:00,807.98,15.17,39.28,6.19,48.21,57.16
2024-12-15T04:00,815.35,15.63,36.8,6.47,48.83,58.07
2024-12-15T05:00,873.57,17.22,32.49,7.07,52.12,62.85
2024-12-15T06:00,892.54,17.74,31.06,7.35,53.3,64.25
2024-12-15T07:00,909.53,17.95,29.46,7.38,53.63,64.55
2024-12-15T08:00,843.0,16.31,31.96,7.02,48.73,57.9
2024-12-15T09:00,758.97,14.27,35.91,6.63,42.22,49.63
2024-12-15T10:00,681.24,12.74,41.03,6.34,36.05,41.79
2024-12-15T11:00,616.07,11.6,45.89,6.1,30.52,35.76
2024-12-15T12:00,584.06,10.67,49.92,5.89,27.03,32.25
2024-12-15T13:00,563.99,9.93,53.5,5.77,25.8,31.13
2024-12-15T14:00,549.19,9.27,57.64,5.54,25.4,31.39
2024-12-15T15:00,536.56,9.01,59.08,5.17,25.2,32.07
2024-12-15T16:00,538.46,8.9,59.14,4.78,25.67,34.18
2024-12-15T17:00,561.45,9.25,58.27,4.45,27.37,36.8
2024-12-15T18:00,581.47,9.57,56.93,4.17,28.63,39.52
2024-12-15T19:00,638.76,10.82,55.65,4.27,32.07,44.63
2024-12-15T20:00,684.51,11.81,53.86,4.44,35.24,48.64
2024-12-15T21:00,763.17,13.54,51.5,4.95,40.95,55.17
2024-12-15T22:00,837.46,15.04,46.64,5.26,45.46,60.92
2024-12-15T23:00,905.74,16.36,42.78,5.68,50.52,67.16
2024-12-16T00:00,1004.6,18.13,37.54,6.29,56.82,75.83
2024-12-16T01:00,1153.08,20.34,30.95,7.39,67.43,87.8
2024-12-16T02:00,1270.33,22.0,26.52,8.15,76.4,97.63
2024-12-16T03:00,1335.79,22.74,24.41,8.46,81.54,102.84
2024-12-16T04:00,1298.83,22.01,25.22,8.4,79.09,99.52
2024-12-16T05:00,1267.42,21.44,26.22,8.37,76.93,96.56
2024-12-16T06:00,1237.49,20.96,27.59,8.39,74.81,94.32
2024-12-16T07:00,1207.23,20.52,28.03,8.37,72.76,91.65
2024-12-16T08:00,1153.4,19.78,30.52,8.54,69.32,87.43
2024-12-16T09:00,1070.95,18.59,36.3,8.9,63.72,80.21
2024-12-16T10:00,944.9,16.94,46.02,9.07,55.39,69.94
2024-12-16T11:00,841.91,15.61,54.78,9.13,49.6,62.61
2024-12-16T12:00,749.37,13.94,61.72,8.88,44.93,55.6
2024-12-16T13:00,693.2,12.56,71.66,8.49,42.05,51.28
2024-12-16T14:00,667.49,11.7,79.37,8.36,41.37,51.12
2024-12-16T15:00,675.83,11.65,84.0,8.41,42.93,53.71
2024-12-16T16:00,690.24,12.0,83.61,8.53,44.22,56.19
2024-12-16T17:00,734.45,13.44,79.41,8.52,47.19,60.62
2024-12-16T18:00,874.34,17.15,69.5,8.95,53.62,71.08
2024-12-16T19:00,1093.95,21.56,56.31,9.46,63.32,85.33
2024-12-16T20:00,1310.08,25.16,44.27,10.02,74.75,99.62
2024-12-16T21:00,1467.51,27.81,33.98,10.36,86.27,114.15
2024-12-16T22:00,1576.04,29.07,24.8,10.46,95.66,125.08
2024-12-16T23:00,1625.05,29.31,19.18,10.5,101.68,130.92
2024-12-17T00:00,1617.4,28.55,17.63,10.0,103.23,131.77
2024-12-17T01:00,1602.56,27.69,16.36,9.56,102.42,130.16
2024-12-17T02:00,1629.36,27.48,13.07,9.64,104.45,130.78
2024-12-17T03:00,1646.38,27.4,10.61,9.99,106.06,131.08
2024-12-17T04:00,1655.49,27.35,9.55,10.25,107.73,131.95
