time,co,no2,o3,so2,pm2_5,pm10
2024-12-15T00:00,581.65,8.76,38.31,6.07,57.52,66.17
2024-12-15T01:00,584.79,8.79,37.35,6.09,57.91,66.11
2024-12-15T02:00,578.37,8.74,38.55,6.26,57.87,64.87
2024-12-15T03:00,566.62,8.54,40.03,6.48,56.23,61.98
2024-12-15T04:00,559.83,8.73,40.96,6.75,52.73,57.69
2024-12-15T05:00,556.35,8.92,42.72,7.17,51.44,55.49
2024-12-15T06:00,560.88,9.3,43.4,7.54,51.64,55.87
2024-12-15T07:00,556.95,9.16,44.1,7.51,51.99,56.79
2024-12-15T08:00,556.82,9.11,43.24,7.41,51.22,56.67
2024-12-15T09:00,552.84,8.81,43.59,7.35,49.21,54.33
2024-12-15T10:00,550.47,8.82,45.24,7.64,47.25,52.25
2024-12-15T11:00,544.21,8.68,48.58,7.86,45.09,49.44
2024-12-15T12:00,532.77,8.34,51.42,7.83,42.84,47.57
2024-12-15T13:00,520.24,7.74,56.27,7.89,42.95,48.68
2024-12-15T14:00,508.12,7.21,59.91,8.07,41.27,47.19
2024-12-15T15:00,496.25,6.93,63.21,8.34,38.03,43.72
2024-12-15T16:00,498.79,6.78,61.73,8.1,39.79,45.32
2024-12-15T17:00,514.24,7.23,58.26,7.75,42.68,49.28
2024-12-15T18:00,537.25,7.81,51.51,7.19,45.97,53.82
2024-12-15T19:00,542.08,8.02,49.34,6.69,49.33,57.68
2024-12-15T20:00,545.24,8.17,47.42,6.32,50.6,58.78
2024-12-15T21:00,549.13,8.39,46.01,5.88,50.75,58.85
2024-12-15T22:00,555.79,8.56,42.83,5.58,52.75,61.38
2024-12-15T23:00,560.1,8.72,40.67,5.42,52.81,61.87
2024-12-16T00:00,569.42,8.49,37.07,5.16,57.9,66.51
2024-12-16T01:00,570.83,8.13,35.39,5.27,62.39,70.97
2024-12-16T02:00,568.13,7.84,35.49,5.36,64.89,73.81
2024-12-16T03:00,567.22,7.71,36.27,5.34,66.42,76.35
2024-12-16T04:00,571.13,7.75,35.54,5.18,67.83,77.9
2024-12-16T05:00,576.38,7.8,35.3,5.17,68.62,79.1
2024-12-16T06:00,583.18,7.96,34.56,5.15,69.21,79.96
2024-12-16T07:00,588.45,7.94,34.48,4.97,70.28,80.81
2024-12-16T08:00,596.94,7.96,35.4,4.99,72.47,83.3
2024-12-16T09:00,599.07,7.84,39.48,5.35,73.08,83.68
2024-12-16T10:00,597.37,7.91,45.14,6.29,70.74,79.84
2024-12-16T11:00,576.79,8.06,54.49,7.8,62.2,69.05
