time,co,no2,o3,so2,pm2_5,pm10
2024-12-15T03:00,845.92,22.9,29.96,14.09,62.26,69.38
2024-12-15T04:00,850.19,23.64,28.83,14.41,57.75,64.37
2024-12-15T05:00,865.83,22.82,37.24,15.41,64.99,71.55
2024-12-15T06:00,817.55,22.18,39.75,16.03,67.8,73.63
2024-12-15T07:00,870.38,25.89,32.6,17.91,69.81,77.18
2024-12-15T08:00,823.28,24.7,31.98,17.26,65.21,71.78
2024-12-15T09:00,852.24,22.94,46.1,16.27,73.81,81.76
2024-12-15T10:00,812.4,21.32,43.3,14.7,63.83,70.89
2024-12-15T11:00,822.52,21.56,47.56,15.5,69.06,76.75
2024-12-15T12:00,863.1,23.26,41.36,16.5,70.13,78.17
2024-12-15T13:00,717.66,19.2,46.08,14.13,61.4,68.74
2024-12-15T14:00,586.52,13.58,64.59,11.2,55.55,62.5
2024-12-15T15:00,662.56,17.25,55.59,12.11,55.61,63.09
2024-12-15T16:00,800.12,18.74,39.94,12.28,78.72,87.68
2024-12-15T17:00,785.96,17.87,49.35,13.86,80.41,88.8
2024-12-15T18:00,417.17,11.98,42.76,8.9,40.75,43.89
2024-12-15T19:00,735.87,17.5,36.87,10.41,68.7,76.63
2024-12-15T20:00,664.73,16.94,46.91,10.97,51.77,59.33
2024-12-15T21:00,794.35,22.48,51.12,15.72,58.4,68.13
2024-12-15T22:00,1080.84,25.17,30.58,13.43,86.02,99.74
2024-12-15T23:00,1161.58,25.24,28.17,11.15,92.82,107.85
2024-12-16T00:00,650.04,14.23,40.18,4.86,63.59,74.07
2024-12-16T01:00,847.66,23.33,21.7,9.58,60.08,70.52
2024-12-16T02:00,1131.4,22.92,27.12,11.92,92.77,105.28
2024-12-16T03:00,1546.65,37.6,41.37,22.33,141.44,160.5
2024-12-16T04:00,1089.71,28.47,25.22,16.62,94.92,107.14
2024-12-16T05:00,949.51,28.05,26.13,15.87,76.19,84.75
2024-12-16T06:00,878.0,26.53,24.64,15.08,70.54,78.19
2024-12-16T07:00,979.57,29.17,33.58,16.99,89.07,98.68
2024-12-16T08:00,886.8,24.79,34.05,15.91,83.12,91.96
2024-12-16T09:00,919.52,25.99,44.79,18.08,86.23,95.72
2024-12-16T10:00,974.64,23.35,46.33,17.89,97.27,107.61
2024-12-16T11:00,930.98,24.5,44.38,19.67,91.49,101.27
2024-12-16T12:00,798.7,25.04,30.91,19.75,74.72,84.01
2024-12-16T13:00,995.31,31.49,27.96,25.39,93.72,104.91
2024-12-16T14:00,507.43,18.71,53.8,18.76,55.56,63.76
2024-12-16T15:00,593.95,14.19,73.08,16.71,69.58,78.13
2024-12-16T16:00,661.57,18.55,56.16,15.68,65.06,73.37
2024-12-16T17:00,780.12,21.57,46.19,14.48,67.57,77.47
2024-12-16T18:00,912.09,24.51,44.12,14.15,81.38,93.87
2024-12-16T19:00,2035.67,49.84,15.22,23.41,162.32,189.41
2024-12-16T20:00,2732.44,55.67,8.03,23.36,210.12,240.67
2024-12-16T21:00,1520.31,26.65,35.6,10.13,136.76,154.82
2024-12-16T22:00,1016.05,19.6,27.65,3.74,92.86,104.43
2024-12-16T23:00,960.22,19.63,30.95,7.73,83.78,96.38
2024-12-17T00:00,921.39,18.31,27.83,6.2,81.85,94.36
2024-12-17T01:00,1004.52,20.75,23.64,7.99,90.36,104.53
2024-12-17T02:00,931.59,17.67,26.93,6.92,87.42,100.52
2024-12-17T03:00,886.99,16.95,26.94,6.51,83.18,95.62
2024-12-17T04:00,854.61,16.45,27.19,6.27,78.77,90.4
2024-12-17T05:00,734.5,14.84,22.6,5.45,69.99,79.78
2024-12-17T06:00,816.19,16.47,21.95,6.12,76.53,87.79
2024-12-17T07:00,804.78,16.49,20.0,5.67,75.21,86.4
2024-12-17T08:00,819.44,16.36,21.73,5.74,73.6,84.1
2024-12-17T09:00,923.87,15.63,36.23,6.09,82.59,95.33
2024-12-17T10:00,843.82,11.42,65.99,7.09,95.5,108.67
2024-12-17T11:00,793.04,10.52,95.76,11.7,100.27,113.8
2024-12-17T12:00,634.29,3.59,91.55,6.94,80.23,90.23
2024-12-17T13:00,524.55,5.55,105.45,10.27,72.21,79.98
2024-12-17T14:00,596.03,7.88,107.04,13.4,78.38,85.95
2024-12-17T15:00,627.65,8.59,113.48,12.79,81.47,90.77
2024-12-17T16:00,617.47,10.78,106.27,13.84,81.72,91.36
2024-12-17T17:00,708.3,17.02,85.38,14.79,83.59,95.86
2024-12-17T18:00,1114.0,28.43,62.2,17.79,121.21,141.45
2024-12-17T19:00,1301.24,30.53,58.14,17.76,136.65,159.64
2024-12-17T20:00,1220.29,27.95,42.58,12.86,110.36,128.42
2024-12-17T21:00,1044.55,22.46,34.44,9.33,100.36,114.81
2024-12-17T22:00,1152.4,22.47,27.92,8.02,105.6,120.09
2024-12-17T23:00,964.5,16.9,32.64,4.32,89.17,101.13
2024-12-18T00:00,785.59,12.22,38.26,2.9,72.93,82.45
2024-12-18T01:00,785.98,12.3,37.91,2.67,71.75,81.17
2024-12-18T02:00,724.18,10.7,40.9,3.01,65.06,73.48
2024-12-18T03:00,740.79,10.93,44.54,3.52,69.36,79.05
2024-12-18T04:00,1175.61,21.46,39.78,9.56,117.11,133.68
2024-12-18T05:00,917.95,15.72,47.03,7.87,103.95,116.58
2024-12-18T06:00,1117.89,21.67,58.75,12.52,117.67,133.5
2024-12-18T07:00,845.03,18.45,54.86,10.93,87.74,99.07
2024-12-18T08:00,768.97,14.99,66.09,8.62,88.76,100.3
2024-12-18T09:00,762.97,13.46,72.91,9.27,91.99,104.38
2024-12-18T10:00,670.19,10.36,78.11,8.87,82.18,94.39
2024-12-18T11:00,612.57,11.69,78.84,10.92,74.26,85.98
2024-12-18T12:00,554.43,10.34,69.58,8.94,74.3,84.42
2024-12-18T13:00,435.82,3.99,99.37,7.46,63.68,71.78
2024-12-18T14:00,531.2,7.44,82.91,8.2,56.16,64.74
2024-12-18T15:00,492.14,7.23,81.86,7.57,43.3,50.51
2024-12-18T16:00,442.53,6.52,81.53,6.36,35.67,42.14
2024-12-18T17:00,538.03,9.91,83.56,7.54,50.67,59.28
2024-12-18T18:00,657.72,15.36,75.35,11.01,67.35,79.55
2024-12-18T19:00,912.25,20.82,59.54,11.29,82.11,96.41
2024-12-18T20:00,1002.93,23.39,37.64,10.06,81.24,94.39
2024-12-18T21:00,725.91,16.24,36.91,6.7,74.95,85.85
2024-12-18T22:00,1389.45,25.67,24.81,7.1,117.47,134.46
2024-12-18T23:00,1399.64,26.1,21.64,7.59,124.07,141.43
2024-12-19T00:00,1001.15,18.69,24.93,5.11,96.51,109.12
2024-12-19T01:00,911.26,15.39,33.46,4.39,92.47,105.41
2024-12-19T02:00,894.46,13.98,36.41,5.36,94.64,108.16
2024-12-19T03:00,828.73,12.21,35.13,4.07,80.49,91.36
2024-12-19T04:00,688.47,9.85,32.06,1.26,62.65,71.95
2024-12-19T05:00,1201.17,25.28,18.47,10.45,103.46,118.77
2024-12-19T06:00,1213.38,25.33,31.11,12.82,114.96,130.05
2024-12-19T07:00,1752.34,39.2,32.41,18.95,161.61,185.24
2024-12-19T08:00,1144.12,26.66,33.92,13.3,112.08,127.15
2024-12-19T09:00,631.49,14.18,56.3,8.8,70.05,78.94
2024-12-19T10:00,426.04,4.33,70.26,3.85,55.09,62.76
2024-12-19T11:00,500.71,4.51,92.57,6.71,74.83,83.08
2024-12-19T12:00,591.93,10.41,77.26,9.31,69.71,77.88
2024-12-19T13:00,582.74,12.03,67.59,11.2,62.88,70.72
2024-12-19T14:00,818.09,20.09,51.71,14.84,69.71,81.42
2024-12-19T15:00,700.82,17.74,45.59,13.38,54.54,63.29
2024-12-19T16:00,594.9,16.94,45.57,13.47,53.42,61.49
2024-12-19T17:00,542.92,12.1,87.74,12.3,75.27,84.93
2024-12-19T18:00,665.01,14.74,90.8,11.69,90.75,104.38
2024-12-19T19:00,672.44,14.43,87.19,10.39,89.91,104.03
2024-12-19T20:00,900.95,20.93,59.2,9.8,86.75,101.26
2024-12-19T21:00,1226.05,27.69,33.63,9.2,110.58,128.0
2024-12-19T22:00,1021.28,21.24,28.63,6.57,103.71,117.78
2024-12-19T23:00,956.39,19.57,25.05,6.47,90.92,103.66
2024-12-20T00:00,844.19,14.99,30.12,2.73,84.14,96.08
2024-12-20T01:00,857.52,14.36,27.87,2.31,83.41,94.69
2024-12-20T02:00,927.57,16.23,26.7,4.36,90.59,103.42
2024-12-20T03:00,873.26,14.32,29.09,4.44,84.31,96.35
2024-12-20T04:00,803.5,12.34,29.31,2.75,77.8,88.45
2024-12-20T05:00,776.36,11.81,31.36,2.13,75.22,85.65
2024-12-20T06:00,722.14,11.47,29.47,2.84,75.44,86.24
2024-12-20T07:00,1086.44,18.65,24.91,8.25,98.99,115.89
2024-12-20T08:00,1303.85,20.37,25.9,11.05,123.83,144.36
2024-12-20T09:00,2330.89,41.5,28.31,25.05,226.96,259.52
2024-12-20T10:00,961.54,19.93,55.19,15.75,110.24,123.8
2024-12-20T11:00,1004.56,17.89,79.09,17.64,121.99,140.76
2024-12-20T12:00,696.76,13.34,86.66,15.7,82.86,95.22
2024-12-20T13:00,568.57,10.87,81.32,13.81,66.72,75.07
2024-12-20T14:00,424.93,4.78,107.75,9.26,66.3,71.88
2024-12-20T15:00,515.74,8.99,97.3,10.58,66.79,74.17
2024-12-20T16:00,425.48,8.84,77.76,8.25,38.9,45.13
2024-12-20T17:00,541.11,12.21,74.25,8.73,54.1,62.89
2024-12-20T18:00,1067.4,27.84,54.61,14.73,105.91,122.6
2024-12-20T19:00,1169.51,27.66,38.45,11.32,115.17,132.58
2024-12-20T20:00,813.4,17.18,26.19,4.69,79.4,90.26
2024-12-20T21:00,1145.35,19.6,23.85,5.24,99.33,112.7
2024-12-20T22:00,1056.33,18.21,25.85,4.29,93.56,106.27
2024-12-20T23:00,835.13,13.69,24.9,3.2,84.38,94.92
2024-12-21T00:00,972.0,12.4,29.11,4.11,115.96,128.4
2024-12-21T01:00,774.24,14.15,18.86,4.15,76.33,87.52
2024-12-21T02:00,630.63,10.55,19.99,1.91,61.56,70.57
2024-12-21T03:00,696.93,10.85,21.29,1.34,68.65,78.34
2024-12-21T04:00,764.17,11.63,23.18,1.55,78.05,88.96
2024-12-21T05:00,769.76,11.74,21.99,1.73,80.2,91.2
2024-12-21T06:00,775.43,12.21,20.2,1.64,80.89,92.04
2024-12-21T07:00,785.21,12.65,18.85,2.23,82.16,93.5
2024-12-21T08:00,1021.68,18.58,13.63,5.97,104.9,119.69
2024-12-21T09:00,1242.66,21.66,29.03,11.73,136.93,153.76
2024-12-21T10:00,1048.55,16.64,39.01,8.9,119.15,132.99
2024-12-21T11:00,452.04,4.35,79.08,5.68,70.49,77.92
2024-12-21T12:00,424.62,5.47,97.53,9.66,78.18,89.27
2024-12-21T13:00,500.53,5.72,92.6,8.16,62.18,70.92
2024-12-21T14:00,542.09,6.37,103.62,8.71,69.53,78.22
2024-12-21T15:00,591.23,9.69,106.0,12.1,80.4,90.86
2024-12-21T16:00,550.72,10.53,108.03,12.47,83.94,95.87
2024-12-21T17:00,502.31,10.23,100.18,10.78,83.43,96.37
