time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2024-12-15T00:00,13.5,74,9.0,0.0,1025.9,100,4.1,345
2024-12-15T01:00,13.8,73,9.1,0.0,1026.0,100,6.1,332
2024-12-15T02:00,13.7,73,9.0,0.0,1025.3,100,6.9,332
2024-12-15T03:00,13.7,74,9.1,0.0,1025.2,100,6.8,335
2024-12-15T04:00,13.7,72,8.7,0.0,1025.1,100,7.9,344
2024-12-15T05:00,13.6,68,7.8,0.0,1025.6,100,7.6,355
2024-12-15T06:00,13.4,65,6.9,0.0,1026.0,100,7.3,349
2024-12-15T07:00,13.2,67,7.2,0.0,1026.7,100,7.8,347
2024-12-15T08:00,12.9,67,6.9,0.0,1027.4,100,8.8,348
2024-12-15T09:00,12.8,64,6.2,0.0,1028.0,100,10.4,340
2024-12-15T10:00,12.4,64,5.8,0.0,1028.4,100,11.8,337
2024-12-15T11:00,11.9,69,6.4,0.0,1027.9,100,11.2,345
2024-12-15T12:00,11.8,69,6.3,0.0,1027.0,100,9.0,358
2024-12-15T13:00,14.6,48,3.7,0.0,1025.4,100,7.3,351
2024-12-15T14:00,13.8,56,5.2,0.1,1024.7,100,7.6,329
2024-12-15T15:00,12.7,70,7.4,0.8,1024.3,100,8.7,318
2024-12-15T16:00,12.4,78,8.7,0.9,1024.4,95,5.4,307
2024-12-15T17:00,12.3,78,8.6,0.1,1024.4,100,6.1,298
2024-12-15T18:00,11.8,81,8.7,0.9,1024.9,100,8.2,311
2024-12-15T19:00,13.4,73,8.7,0.4,1024.8,100,5.1,315
2024-12-15T20:00,12.8,76,8.7,0.6,1025.3,100,4.8,297
2024-12-15T21:00,12.8,76,8.7,0.2,1025.1,100,3.4,342
2024-12-15T22:00,12.8,76,8.7,0.0,1024.9,96,3.1,324
2024-12-15T23:00,12.7,76,8.6,0.0,1024.9,99,4.5,331
2024-12-16T00:00,12.6,76,8.5,0.0,1024.4,97,3.7,349
2024-12-16T01:00,13.4,73,8.6,0.0,1024.8,98,4.7,337
2024-12-16T02:00,13.1,75,8.7,0.1,1024.2,100,5.2,348
2024-12-16T03:00,13.0,75,8.7,0.1,1023.9,97,4.4,325
2024-12-16T04:00,12.9,76,8.8,0.0,1023.4,95,4.2,329
2024-12-16T05:00,12.9,76,8.8,0.0,1023.2,100,4.5,331
2024-12-16T06:00,13.0,76,8.8,0.0,1023.8,100,5.2,335
2024-12-16T07:00,13.3,81,10.1,0.0,1025.2,99,5.5,328
2024-12-16T08:00,13.9,79,10.3,0.0,1025.6,100,6.0,327
2024-12-16T09:00,14.8,76,10.6,0.0,1026.1,100,6.8,328
2024-12-16T10:00,15.9,69,10.2,0.0,1025.6,94,7.1,330
2024-12-16T11:00,17.4,57,8.8,0.0,1024.5,85,7.5,343
2024-12-16T12:00,19.0,46,7.1,0.0,1023.1,50,6.8,342
