time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2024-12-07T00:00,15.1,83,12.3,0.0,987.3,95,9.7,27
2024-12-07T01:00,14.9,84,12.2,0.0,987.4,96,8.2,38
2024-12-07T02:00,14.7,83,11.9,0.0,986.8,99,8.8,35
2024-12-07T03:00,14.5,83,11.7,0.0,986.9,94,10.2,18
2024-12-07T04:00,14.4,82,11.4,0.0,987.2,98,11.8,23
2024-12-07T05:00,14.3,81,11.1,0.0,987.4,91,11.9,35
2024-12-07T06:00,14.2,80,10.8,0.0,987.8,88,12.0,33
2024-12-07T07:00,14.2,83,11.4,0.0,988.5,91,11.6,36
2024-12-07T08:00,14.5,81,11.3,0.0,989.8,97,13.9,25
2024-12-07T09:00,14.7,81,11.4,0.0,990.6,97,16.0,36
2024-12-07T10:00,14.9,81,11.6,0.0,990.5,98,15.9,39
2024-12-07T11:00,15.0,81,11.7,0.0,990.1,100,15.9,28
2024-12-07T12:00,14.9,80,11.5,0.0,989.2,100,15.8,41
2024-12-07T13:00,14.9,83,12.0,0.0,988.7,100,15.3,34
2024-12-07T14:00,14.5,81,11.3,0.0,988.3,100,15.6,29
2024-12-07T15:00,14.2,81,11.0,0.0,988.4,100,16.3,28
2024-12-07T16:00,13.9,81,10.7,0.0,988.8,95,16.8,28
2024-12-07T17:00,13.5,80,10.1,0.0,989.3,92,16.2,32
2024-12-07T18:00,13.4,80,10.0,0.0,990.0,100,14.8,34
2024-12-07T19:00,13.4,82,10.4,0.0,991.0,100,14.5,35
2024-12-07T20:00,13.2,81,10.0,0.0,991.5,97,15.9,38
2024-12-07T21:00,13.1,81,9.9,0.0,991.4,91,15.5,31
2024-12-07T22:00,12.7,81,9.5,0.0,991.8,92,16.8,28
2024-12-07T23:00,12.6,80,9.2,0.0,991.5,99,17.1,30
2024-12-08T00:00,12.5,78,8.8,0.0,991.6,100,15.2,31
2024-12-08T01:00,12.4,80,9.1,0.0,991.9,100,14.8,29
2024-12-08T02:00,12.2,79,8.6,0.1,991.4,100,15.0,27
2024-12-08T03:00,12.1,79,8.5,0.0,991.1,100,14.8,29
2024-12-08T04:00,12.0,78,8.3,0.0,991.1,100,14.3,28
2024-12-08T05:00,11.9,77,8.0,0.0,991.6,100,14.2,27
2024-12-08T06:00,11.9,77,8.0,0.0,992.1,100,14.5,27
2024-12-08T07:00,12.2,78,8.4,0.0,993.1,100,14.2,27
2024-12-08T08:00,12.2,77,8.3,0.0,993.7,100,14.8,29
2024-12-08T09:00,12.4,77,8.5,0.0,994.2,100,14.9,32
2024-12-08T10:00,12.7,77,8.7,0.0,993.8,100,14.8,29
2024-12-08T11:00,13.1,77,9.1,0.0,993.2,98,15.6,26
2024-12-08T12:00,13.5,75,9.1,0.0,992.6,98,15.9,28
2024-12-08T13:00,14.5,73,9.7,0.0,991.1,96,12.9,30
2024-12-08T14:00,14.5,72,9.5,0.0,990.4,95,12.6,27
2024-12-08T15:00,14.4,72,9.4,0.0,989.5,98,12.1,27
2024-12-08T16:00,14.1,73,9.4,0.0,989.7,94,11.1,29
2024-12-08T17:00,13.5,75,9.1,0.0,990.0,83,9.2,31
2024-12-08T18:00,12.8,78,9.1,0.0,990.7,65,6.0,25
2024-12-08T19:00,12.5,79,8.9,0.0,991.3,68,4.6,18
2024-12-08T20:00,11.9,82,8.9,0.0,991.2,59,4.3,24
2024-12-08T21:00,11.4,84,8.8,0.0,991.1,49,3.1,21
2024-12-08T22:00,11.0,86,8.7,0.0,991.1,76,3.2,360
