time,temperature_2m,relative_humidity_2m,dew_point_2m,rain,snowfall,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2024-10-22T00:00,12.2,91.0,10.8,0.0,0.0,1021.0,58.0,17.1,228.0
2024-10-22T01:00,12.1,93.0,10.9,0.0,0.0,1020.7,90.0,14.1,239.0
2024-10-22T02:00,12.1,93.0,11.0,0.0,0.0,1020.5,90.0,11.6,237.0
2024-10-22T03:00,12.1,92.0,10.8,0.0,0.0,1020.4,90.0,9.4,220.0
2024-10-22T04:00,12.0,93.0,11.0,0.4,0.0,1019.8,90.0,9.3,205.0
2024-10-22T05:00,12.0,96.0,11.3,1.9,0.0,1019.8,95.0,8.9,216.0
2024-10-22T06:00,11.8,96.0,11.3,2.1,0.0,1019.2,90.0,3.9,204.0
2024-10-22T07:00,11.8,96.0,11.2,1.2,0.0,1018.6,96.0,4.7,268.0
2024-10-22T08:00,11.8,95.0,11.0,0.5,0.0,1018.7,97.0,8.9,294.0
2024-10-22T09:00,11.6,93.0,10.6,0.4,0.0,1018.8,97.0,12.4,321.0
2024-10-22T10:00,11.5,91.0,10.1,0.3,0.0,1019.1,93.0,8.9,320.0
2024-10-22T11:00,12.0,86.0,9.7,0.0,0.0,1019.3,22.0,9.4,302.0
2024-10-22T12:00,12.9,83.0,10.2,0.0,0.0,1019.7,9.0,14.1,285.0
2024-10-22T13:00,13.8,73.0,9.0,0.0,0.0,1020.1,13.0,20.0,278.0
2024-10-22T14:00,14.1,69.0,8.5,0.0,0.0,1020.3,12.0,21.7,276.0
2024-10-22T15:00,13.9,68.0,8.1,0.0,0.0,1021.1,17.0,21.6,270.0
2024-10-22T16:00,13.6,73.0,8.8,0.0,0.0,1021.3,18.0,19.7,261.0
2024-10-22T17:00,12.9,77.0,9.0,0.0,0.0,1021.8,8.0,18.3,252.0
2024-10-22T18:00,12.1,79.0,8.5,0.0,0.0,1022.2,4.0,19.2,243.0
2024-10-22T19:00,11.7,80.0,8.4,0.0,0.0,1022.7,0.0,21.3,243.0
2024-10-22T20:00,11.3,82.0,8.4,0.0,0.0,1023.0,1.0,22.8,248.0
2024-10-22T21:00,11.2,83.0,8.3,0.0,0.0,1023.5,10.0,24.0,249.0
2024-10-22T22:00,11.2,83.0,8.5,0.0,0.0,1023.9,14.0,25.8,253.0
2024-10-22T23:00,11.1,84.0,8.5,0.0,0.0,1024.4,5.0,24.3,258.0
2024-10-23T00:00,10.9,86.0,8.6,0.0,0.0,1025.0,5.0,23.6,263.0
2024-10-23T01:00,10.7,87.0,8.6,0.0,0.0,1025.7,2.0,23.9,269.0
2024-10-23T02:00,10.4,88.0,8.5,0.0,0.0,1026.0,1.0,23.4,273.0
2024-10-23T03:00,10.4,87.0,8.3,0.0,0.0,1026.7,6.0,23.0,276.0
2024-10-23T04:00,10.2,87.0,8.1,0.0,0.0,1027.1,1.0,22.4,274.0
2024-10-23T05:00,10.0,87.0,7.9,0.0,0.0,1027.7,0.0,22.1,279.0
2024-10-23T06:00,9.4,89.0,7.7,0.0,0.0,1028.0,30.0,17.1,270.0
2024-10-23T07:00,9.3,90.0,7.7,0.0,0.0,1028.4,30.0,16.4,267.0
2024-10-23T08:00,9.6,89.0,7.9,0.0,0.0,1028.8,30.0,18.8,267.0
2024-10-23T09:00,10.1,88.0,8.2,0.0,0.0,1029.5,58.0,18.7,262.0
2024-10-23T10:00,10.7,87.0,8.6,0.0,0.0,1030.2,0.0,18.1,260.0
2024-10-23T11:00,11.8,81.0,8.7,0.0,0.0,1030.7,31.0,18.1,257.0
2024-10-23T12:00,12.7,73.0,8.0,0.0,0.0,1031.0,43.0,21.4,263.0
2024-10-23T13:00,13.2,68.0,7.5,0.1,0.0,1031.0,32.0,20.9,263.0
2024-10-23T14:00,13.4,67.0,7.3,0.0,0.0,1030.8,29.0,20.0,259.0
2024-10-23T15:00,13.5,65.0,6.9,0.0,0.0,1031.2,100.0,19.9,263.0
2024-10-23T16:00,13.1,70.0,7.7,0.0,0.0,1031.1,64.0,18.7,262.0
2024-10-23T17:00,12.5,72.0,7.7,0.0,0.0,1030.8,68.0,15.6,249.0
2024-10-23T18:00,11.9,77.0,8.0,0.0,0.0,1030.8,23.0,17.4,243.0
2024-10-23T19:00,11.1,83.0,8.3,0.0,0.0,1030.8,17.0,17.0,231.0
2024-10-23T20:00,10.7,86.0,8.4,0.0,0.0,1030.9,11.0,18.3,231.0
2024-10-23T21:00,10.3,88.0,8.4,0.0,0.0,1031.1,12.0,17.1,238.0
2024-10-23T22:00,10.0,89.0,8.4,0.0,0.0,1031.4,26.0,15.8,243.0
2024-10-23T23:00,10.0,90.0,8.5,0.0,0.0,1031.5,27.0,17.5,251.0
