time,temperature_2m,relative_humidity_2m,dew_point_2m,rain,snowfall,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2024-10-22T00:00,6.6,78.0,3.0,0.0,0.0,1012.4,3.0,6.6,189.0
2024-10-22T01:00,6.1,83.0,3.4,0.0,0.0,1012.6,4.0,5.9,180.0
2024-10-22T02:00,6.2,86.0,4.0,0.0,0.0,1012.7,0.0,7.4,186.0
2024-10-22T03:00,6.3,86.0,4.1,0.0,0.0,1012.7,7.0,9.0,183.0
2024-10-22T04:00,6.2,89.0,4.6,0.0,0.0,1012.5,1.0,8.6,178.0
2024-10-22T05:00,6.3,92.0,5.1,0.0,0.0,1012.2,5.0,9.3,193.0
2024-10-22T06:00,6.4,92.0,5.2,0.0,0.0,1011.8,26.0,7.7,205.0
2024-10-22T07:00,6.6,92.0,5.5,0.0,0.0,1011.8,42.0,8.9,188.0
2024-10-22T08:00,6.8,94.0,5.9,0.0,0.0,1011.6,52.0,9.3,188.0
2024-10-22T09:00,7.3,95.0,6.5,0.0,0.0,1011.5,73.0,9.0,181.0
2024-10-22T10:00,8.3,92.0,7.1,0.0,0.0,1011.6,89.0,10.6,178.0
2024-10-22T11:00,9.0,87.0,7.0,0.0,0.0,1011.4,90.0,11.2,184.0
2024-10-22T12:00,9.5,85.0,7.2,0.0,0.0,1011.0,63.0,13.3,178.0
2024-10-22T13:00,10.7,81.0,7.6,0.0,0.0,1010.5,6.0,15.5,181.0
2024-10-22T14:00,11.7,78.0,8.0,0.0,0.0,1010.1,39.0,17.3,192.0
2024-10-22T15:00,12.2,74.0,7.6,0.0,0.0,1010.0,23.0,15.6,194.0
2024-10-22T16:00,12.1,74.0,7.6,0.0,0.0,1009.6,22.0,15.7,195.0
2024-10-22T17:00,11.6,70.0,6.4,0.0,0.0,1009.5,0.0,15.6,204.0
2024-10-22T18:00,9.9,76.0,5.8,0.0,0.0,1009.6,20.0,12.6,211.0
2024-10-22T19:00,8.7,79.0,5.3,0.0,0.0,1010.1,2.0,12.1,222.0
2024-10-22T20:00,8.3,76.0,4.4,0.0,0.0,1010.6,4.0,12.9,226.0
2024-10-22T21:00,8.0,74.0,3.7,0.0,0.0,1011.1,24.0,13.3,220.0
2024-10-22T22:00,7.4,77.0,3.6,0.0,0.0,1011.7,11.0,12.0,215.0
2024-10-22T23:00,7.2,76.0,3.3,0.0,0.0,1012.3,2.0,13.3,229.0
2024-10-23T00:00,7.0,71.0,2.2,0.0,0.0,1012.6,5.0,12.5,225.0
2024-10-23T01:00,6.9,68.0,1.4,0.0,0.0,1013.2,19.0,10.8,232.0
2024-10-23T02:00,7.0,67.0,1.2,0.0,0.0,1013.7,10.0,9.4,225.0
2024-10-23T03:00,6.4,80.0,3.2,0.0,0.0,1014.9,33.0,16.2,189.0
2024-10-23T04:00,6.1,81.0,3.2,0.0,0.0,1015.8,13.0,15.4,197.0
2024-10-23T05:00,5.9,81.0,2.9,0.0,0.0,1016.2,20.0,12.8,204.0
2024-10-23T06:00,5.7,83.0,3.0,0.0,0.0,1016.8,3.0,10.5,202.0
2024-10-23T07:00,5.4,85.0,3.1,0.0,0.0,1017.5,12.0,9.1,210.0
2024-10-23T08:00,5.1,85.0,2.9,0.0,0.0,1018.2,25.0,6.8,198.0
2024-10-23T09:00,5.8,86.0,3.7,0.0,0.0,1018.9,32.0,9.4,191.0
2024-10-23T10:00,6.8,82.0,4.0,0.0,0.0,1019.6,23.0,9.1,202.0
2024-10-23T11:00,8.7,75.0,4.6,0.0,0.0,1019.7,46.0,11.5,209.0
2024-10-23T12:00,10.4,62.0,3.4,0.0,0.0,1019.7,31.0,19.2,208.0
2024-10-23T13:00,10.3,68.0,4.7,0.0,0.0,1019.4,38.0,20.2,192.0
2024-10-23T14:00,10.6,70.0,5.3,0.0,0.0,1019.2,33.0,18.9,190.0
2024-10-23T15:00,10.9,72.0,6.1,0.0,0.0,1019.7,37.0,17.7,183.0
2024-10-23T16:00,11.0,70.0,5.7,0.0,0.0,1019.5,47.0,17.0,185.0
2024-10-23T17:00,11.0,68.0,5.3,0.0,0.0,1019.4,44.0,15.9,186.0
2024-10-23T18:00,10.2,71.0,5.3,0.0,0.0,1019.3,37.0,15.0,183.0
2024-10-23T19:00,9.7,76.0,5.7,0.0,0.0,1019.5,28.0,13.6,188.0
2024-10-23T20:00,9.3,80.0,6.1,0.0,0.0,1020.2,37.0,13.2,194.0
2024-10-23T21:00,8.8,85.0,6.4,0.0,0.0,1020.4,45.0,11.7,198.0
2024-10-23T22:00,8.7,87.0,6.6,0.0,0.0,1020.8,48.0,10.1,205.0
2024-10-23T23:00,8.7,87.0,6.7,0.0,0.0,1021.1,61.0,8.1,208.0
2024-10-24T00:00,8.9,87.0,6.9,0.0,0.0,1020.8,84.0,8.6,206.0
2024-10-24T01:00,8.8,89.0,7.1,0.0,0.0,1021.1,48.0,9.6,210.0
2024-10-24T02:00,8.5,89.0,6.8,0.0,0.0,1021.2,78.0,6.9,211.0
2024-10-24T03:00,8.3,90.0,6.8,0.0,0.0,1022.0,32.0,7.5,210.0
2024-10-24T04:00,8.1,91.0,6.7,0.0,0.0,1021.8,29.0,7.1,216.0
2024-10-24T05:00,6.9,93.0,5.8,0.0,0.0,1021.8,52.0,6.2,197.0
2024-10-24T06:00,8.1,92.0,6.9,0.0,0.0,1021.7,50.0,6.8,180.0
2024-10-24T07:00,8.2,93.0,7.1,0.0,0.0,1021.5,65.0,8.5,176.0
2024-10-24T08:00,8.2,93.0,7.1,0.0,0.0,1021.6,72.0,9.4,185.0
2024-10-24T09:00,8.2,94.0,7.4,0.0,0.0,1021.8,36.0,9.7,192.0
2024-10-24T10:00,9.0,96.0,8.4,0.0,0.0,1021.8,52.0,10.7,194.0
2024-10-24T11:00,10.3,90.0,8.8,0.0,0.0,1022.1,59.0,12.9,196.0
2024-10-24T12:00,11.3,85.0,8.8,0.0,0.0,1022.1,58.0,13.6,200.0
2024-10-24T13:00,12.1,78.0,8.5,0.0,0.0,1022.1,70.0,16.2,209.0
