time,temperature_2m,relative_humidity_2m,dew_point_2m,rain,snowfall,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2024-10-22T00:00,14.6,80.0,11.1,0.0,0.0,1022.5,28.0,24.9,275.0
2024-10-22T01:00,14.6,82.0,11.5,0.0,0.0,1022.8,16.0,25.0,270.0
2024-10-22T02:00,14.9,78.0,11.1,0.0,0.0,1023.3,11.0,30.3,266.0
2024-10-22T03:00,15.0,76.0,10.8,0.0,0.0,1023.5,2.0,30.8,266.0
2024-10-22T04:00,15.0,73.0,10.3,0.0,0.0,1023.8,6.0,29.9,267.0
2024-10-22T05:00,14.9,73.0,10.2,0.0,0.0,1024.2,14.0,29.3,262.0
2024-10-22T06:00,14.8,73.0,10.1,0.0,0.0,1024.4,21.0,31.2,259.0
2024-10-22T07:00,14.8,74.0,10.2,0.0,0.0,1024.6,10.0,28.9,255.0
2024-10-22T08:00,14.9,73.0,10.2,0.0,0.0,1025.2,41.0,28.8,252.0
2024-10-22T09:00,15.0,74.0,10.4,0.0,0.0,1025.8,33.0,29.5,248.0
2024-10-22T10:00,15.1,73.0,10.3,0.0,0.0,1026.3,71.0,31.4,247.0
2024-10-22T11:00,15.2,74.0,10.6,0.0,0.0,1026.7,52.0,30.9,243.0
2024-10-22T12:00,15.0,78.0,11.1,0.1,0.0,1027.0,33.0,30.8,238.0
2024-10-22T13:00,15.1,78.0,11.2,0.1,0.0,1027.1,46.0,30.4,240.0
2024-10-22T14:00,14.7,82.0,11.7,0.1,0.0,1027.2,46.0,27.1,236.0
2024-10-22T15:00,15.0,80.0,11.6,0.0,0.0,1027.1,10.0,27.7,238.0
2024-10-22T16:00,15.3,77.0,11.3,0.0,0.0,1027.2,31.0,28.2,243.0
2024-10-22T17:00,15.4,76.0,11.2,0.0,0.0,1027.4,50.0,29.4,248.0
2024-10-22T18:00,15.5,76.0,11.3,0.0,0.0,1027.6,33.0,28.7,249.0
2024-10-22T19:00,15.5,77.0,11.5,0.0,0.0,1028.0,35.0,28.0,248.0
2024-10-22T20:00,15.4,78.0,11.5,0.1,0.0,1028.3,46.0,28.0,247.0
2024-10-22T21:00,15.3,79.0,11.8,0.1,0.0,1028.8,51.0,27.0,245.0
2024-10-22T22:00,15.1,82.0,12.0,0.1,0.0,1029.0,17.0,24.6,242.0
2024-10-22T23:00,15.2,81.0,11.9,0.0,0.0,1029.0,38.0,22.3,237.0
2024-10-23T00:00,15.3,80.0,11.9,0.1,0.0,1029.0,39.0,21.0,233.0
2024-10-23T01:00,15.1,82.0,12.1,0.1,0.0,1029.1,30.0,21.6,230.0
2024-10-23T02:00,15.2,84.0,12.5,0.0,0.0,1029.2,22.0,20.8,232.0
2024-10-23T03:00,15.1,84.0,12.4,0.0,0.0,1029.2,32.0,20.7,230.0
2024-10-23T04:00,15.0,84.0,12.4,0.0,0.0,1028.9,20.0,19.3,231.0
2024-10-23T05:00,15.0,84.0,12.4,0.0,0.0,1028.8,16.0,16.6,234.0
2024-10-23T06:00,15.0,84.0,12.4,0.0,0.0,1028.7,11.0,14.4,230.0
2024-10-23T07:00,14.8,84.0,12.2,0.0,0.0,1028.7,13.0,14.9,208.0
2024-10-23T08:00,14.7,86.0,12.3,0.0,0.0,1028.7,12.0,17.7,192.0
2024-10-23T09:00,14.6,86.0,12.4,0.0,0.0,1029.1,19.0,20.8,186.0
2024-10-23T10:00,14.3,87.0,12.1,0.0,0.0,1029.3,4.0,21.5,185.0
2024-10-23T11:00,13.8,94.0,12.9,0.0,0.0,1029.1,15.0,15.3,184.0
2024-10-23T12:00,13.7,92.0,12.4,0.0,0.0,1028.6,14.0,15.3,184.0
2024-10-23T13:00,13.4,95.0,12.5,0.0,0.0,1028.0,38.0,17.8,173.0
2024-10-23T14:00,13.6,86.0,11.3,0.0,0.0,1027.2,4.0,18.2,157.0
2024-10-23T15:00,13.6,86.0,11.3,0.0,0.0,1026.4,4.0,17.6,151.0
2024-10-23T16:00,14.1,84.0,11.5,0.0,0.0,1025.4,0.0,16.9,149.0
2024-10-23T17:00,14.7,81.0,11.5,0.0,0.0,1024.8,0.0,18.2,139.0
2024-10-23T18:00,15.1,80.0,11.7,0.0,0.0,1024.2,1.0,18.8,128.0
2024-10-23T19:00,15.2,81.0,12.0,0.0,0.0,1023.8,0.0,18.3,121.0
2024-10-23T20:00,15.7,75.0,11.3,0.0,0.0,1023.5,12.0,22.8,128.0
2024-10-23T21:00,15.8,75.0,11.3,0.0,0.0,1023.0,0.0,28.1,136.0
2024-10-23T22:00,15.4,78.0,11.5,0.0,0.0,1022.3,0.0,28.3,130.0
2024-10-23T23:00,14.8,81.0,11.5,0.0,0.0,1021.5,0.0,30.1,129.0
2024-10-24T00:00,14.5,82.0,11.4,0.0,0.0,1020.9,0.0,31.7,134.0
2024-10-24T01:00,14.4,82.0,11.3,0.0,0.0,1020.2,0.0,31.7,140.0
2024-10-24T02:00,14.5,82.0,11.5,0.0,0.0,1019.3,0.0,32.4,141.0
2024-10-24T03:00,14.5,81.0,11.4,0.0,0.0,1018.4,0.0,32.6,147.0
2024-10-24T04:00,14.5,83.0,11.6,0.0,0.0,1017.2,0.0,31.7,150.0
2024-10-24T05:00,14.4,84.0,11.7,0.0,0.0,1016.5,0.0,31.6,154.0
2024-10-24T06:00,14.3,85.0,11.9,0.0,0.0,1016.3,2.0,31.6,157.0
2024-10-24T07:00,14.2,86.0,11.9,0.0,0.0,1015.6,6.0,32.4,157.0
2024-10-24T08:00,14.1,87.0,12.0,0.0,0.0,1015.4,17.0,32.6,158.0
2024-10-24T09:00,14.1,88.0,12.1,0.0,0.0,1015.2,4.0,33.6,157.0
2024-10-24T10:00,14.0,89.0,12.2,0.0,0.0,1014.8,0.0,35.5,157.0
2024-10-24T11:00,14.0,90.0,12.4,0.0,0.0,1014.3,9.0,35.8,158.0
2024-10-24T12:00,14.3,89.0,12.5,0.0,0.0,1013.8,58.0,36.5,166.0
2024-10-24T13:00,14.6,90.0,12.9,0.0,0.0,1013.0,37.0,33.5,168.0
2024-10-24T14:00,15.4,87.0,13.3,0.0,0.0,1012.2,44.0,31.8,167.0
2024-10-24T15:00,15.8,88.0,13.7,0.0,0.0,1011.3,8.0,32.7,160.0
2024-10-24T16:00,16.2,88.0,14.3,0.0,0.0,1010.5,2.0,32.4,159.0
2024-10-24T17:00,16.6,88.0,14.6,0.0,0.0,1009.9,1.0,35.2,159.0
2024-10-24T18:00,17.4,83.0,14.5,0.0,0.0,1009.3,2.0,35.5,153.0
2024-10-24T19:00,17.8,82.0,14.7,0.0,0.0,1009.0,4.0,37.0,155.0
2024-10-24T20:00,17.4,86.0,15.1,0.0,0.0,1009.1,17.0,36.8,160.0
2024-10-24T21:00,17.2,89.0,15.3,0.0,0.0,1009.0,21.0,36.5,167.0
2024-10-24T22:00,16.9,91.0,15.4,0.0,0.0,1008.8,60.0,34.1,177.0
2024-10-24T23:00,16.6,89.0,14.8,0.0,0.0,1007.9,38.0,34.3,166.0
2024-10-25T00:00,16.4,89.0,14.6,0.0,0.0,1008.0,96.0,31.8,176.0
2024-10-25T01:00,16.3,89.0,14.5,0.0,0.0,1007.3,65.0,30.5,175.0
