time,temperature_2m,relative_humidity_2m,dew_point_2m,rain,snowfall,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2024-10-22T00:00,10.8,86.0,8.5,0.0,0.0,1017.5,94.0,20.3,228.0
2024-10-22T01:00,11.0,86.0,8.7,0.0,0.0,1018.0,92.0,18.8,227.0
2024-10-22T02:00,11.3,88.0,9.3,0.0,0.0,1018.4,94.0,17.3,234.0
2024-10-22T03:00,11.3,88.0,9.4,0.0,0.0,1018.7,91.0,16.1,234.0
2024-10-22T04:00,10.7,91.0,9.2,0.0,0.0,1019.2,34.0,15.5,230.0
2024-10-22T05:00,9.9,94.0,9.1,0.0,0.0,1019.7,10.0,14.5,226.0
2024-10-22T06:00,9.7,95.0,9.0,0.0,0.0,1020.3,32.0,14.9,228.0
2024-10-22T07:00,9.7,96.0,9.1,0.0,0.0,1020.9,19.0,14.3,227.0
2024-10-22T08:00,9.5,96.0,8.9,0.0,0.0,1021.6,78.0,13.4,223.0
2024-10-22T09:00,9.8,96.0,9.1,0.0,0.0,1022.7,61.0,13.3,220.0
2024-10-22T10:00,10.7,92.0,9.5,0.0,0.0,1023.6,29.0,14.8,223.0
2024-10-22T11:00,11.8,87.0,9.7,0.0,0.0,1024.1,32.0,14.5,228.0
2024-10-22T12:00,12.8,81.0,9.7,0.0,0.0,1024.6,58.0,13.5,236.0
2024-10-22T13:00,13.7,76.0,9.5,0.0,0.0,1024.8,90.0,11.7,239.0
2024-10-22T14:00,14.0,75.0,9.7,0.1,0.0,1025.0,43.0,9.7,223.0
2024-10-22T15:00,14.2,73.0,9.5,0.0,0.0,1025.1,47.0,10.1,229.0
2024-10-22T16:00,14.1,74.0,9.5,0.0,0.0,1025.2,28.0,8.8,235.0
2024-10-22T17:00,13.9,77.0,9.8,0.0,0.0,1025.3,52.0,7.3,230.0
2024-10-22T18:00,12.7,81.0,9.6,0.0,0.0,1025.5,64.0,6.6,217.0
2024-10-22T19:00,11.5,85.0,9.2,0.0,0.0,1026.1,45.0,9.2,200.0
2024-10-22T20:00,10.9,89.0,9.1,0.0,0.0,1026.6,2.0,10.6,203.0
2024-10-22T21:00,10.5,90.0,8.9,0.0,0.0,1027.1,20.0,10.1,207.0
2024-10-22T22:00,10.0,92.0,8.7,0.0,0.0,1027.3,22.0,8.8,211.0
2024-10-22T23:00,9.6,93.0,8.5,0.0,0.0,1027.2,27.0,8.6,211.0
2024-10-23T00:00,9.3,94.0,8.4,0.0,0.0,1027.4,16.0,8.8,213.0
2024-10-23T01:00,9.1,94.0,8.2,0.0,0.0,1027.5,23.0,9.3,208.0
2024-10-23T02:00,9.2,94.0,8.3,0.0,0.0,1027.6,32.0,9.8,203.0
2024-10-23T03:00,9.1,92.0,7.9,0.0,0.0,1027.2,22.0,10.2,197.0
2024-10-23T04:00,8.9,90.0,7.3,0.0,0.0,1026.9,17.0,10.9,200.0
2024-10-23T05:00,8.8,88.0,7.0,0.0,0.0,1026.7,8.0,11.2,206.0
2024-10-23T06:00,8.9,87.0,6.9,0.0,0.0,1026.4,1.0,12.4,206.0
2024-10-23T07:00,9.1,85.0,6.7,0.0,0.0,1026.4,31.0,14.4,210.0
2024-10-23T08:00,9.2,85.0,6.7,0.0,0.0,1026.0,30.0,14.4,206.0
2024-10-23T09:00,9.8,84.0,7.3,0.0,0.0,1026.2,26.0,15.2,206.0
2024-10-23T10:00,11.5,82.0,8.5,0.0,0.0,1026.0,28.0,16.5,202.0
2024-10-23T11:00,13.1,78.0,9.3,0.0,0.0,1025.5,10.0,16.1,204.0
2024-10-23T12:00,14.0,73.0,9.3,0.0,0.0,1025.1,35.0,18.4,203.0
2024-10-23T13:00,14.4,70.0,8.9,0.0,0.0,1024.4,68.0,20.8,203.0
2024-10-23T14:00,14.4,71.0,9.2,0.0,0.0,1023.6,81.0,18.9,202.0
2024-10-23T15:00,14.5,68.0,8.6,0.0,0.0,1022.6,83.0,21.7,201.0
2024-10-23T16:00,13.6,75.0,9.2,0.0,0.0,1021.7,59.0,16.4,195.0
2024-10-23T17:00,13.4,74.0,8.9,0.0,0.0,1021.0,60.0,15.8,192.0
2024-10-23T18:00,12.8,75.0,8.5,0.0,0.0,1020.4,71.0,16.8,192.0
2024-10-23T19:00,12.5,80.0,9.1,0.0,0.0,1019.7,87.0,15.8,180.0
2024-10-23T20:00,12.9,83.0,10.1,0.0,0.0,1018.7,100.0,15.5,179.0
2024-10-23T21:00,13.1,80.0,9.8,0.0,0.0,1018.3,86.0,19.5,189.0
2024-10-23T22:00,12.8,81.0,9.5,0.0,0.0,1017.7,100.0,19.7,189.0
2024-10-23T23:00,12.5,81.0,9.2,0.0,0.0,1016.8,72.0,20.1,186.0
2024-10-24T00:00,12.5,78.0,8.8,0.0,0.0,1015.8,39.0,20.0,188.0
2024-10-24T01:00,12.5,84.0,9.9,0.0,0.0,1015.3,100.0,20.0,188.0
2024-10-24T02:00,12.7,82.0,9.7,0.0,0.0,1013.9,100.0,21.5,189.0
2024-10-24T03:00,13.0,79.0,9.5,0.0,0.0,1013.0,100.0,22.9,188.0
2024-10-24T04:00,13.1,80.0,9.8,0.0,0.0,1012.4,78.0,24.0,193.0
2024-10-24T05:00,13.3,78.0,9.6,0.0,0.0,1011.5,54.0,23.7,189.0
2024-10-24T06:00,13.1,80.0,9.7,0.0,0.0,1011.1,89.0,21.6,191.0
2024-10-24T07:00,13.3,81.0,10.2,0.0,0.0,1010.2,100.0,20.9,180.0
2024-10-24T08:00,13.7,82.0,10.7,0.0,0.0,1009.6,100.0,19.5,177.0
2024-10-24T09:00,13.9,84.0,11.2,0.0,0.0,1009.5,100.0,17.9,177.0
2024-10-24T10:00,14.5,83.0,11.7,0.0,0.0,1009.1,92.0,19.4,170.0
