time,temperature_2m,relative_humidity_2m,dew_point_2m,rain,snowfall,surface_pressure,cloud_cover,wind_speed_10m,wind_direction_10m
2024-10-22T00:00,11.6,70.0,6.4,0.0,0.0,1011.7,30.0,23.9,249.0
2024-10-22T01:00,11.2,70.0,5.9,0.0,0.0,1012.1,30.0,23.7,248.0
2024-10-22T02:00,10.9,69.0,5.4,0.0,0.0,1012.5,30.0,24.0,248.0
2024-10-22T03:00,10.6,67.0,4.7,0.0,0.0,1012.8,30.0,21.1,254.0
2024-10-22T04:00,10.2,67.0,4.4,0.0,0.0,1013.1,29.0,19.2,255.0
2024-10-22T05:00,9.8,68.0,4.2,0.0,0.0,1013.7,30.0,18.2,249.0
2024-10-22T06:00,9.6,72.0,4.8,0.0,0.0,1013.7,33.0,17.5,243.0
2024-10-22T07:00,9.4,76.0,5.4,0.0,0.0,1013.6,50.0,16.8,242.0
2024-10-22T08:00,9.5,79.0,6.1,0.0,0.0,1013.9,71.0,17.0,234.0
2024-10-22T09:00,9.9,81.0,6.7,0.0,0.0,1013.8,84.0,15.8,238.0
2024-10-22T10:00,10.4,80.0,7.1,0.0,0.0,1013.9,90.0,14.9,234.0
2024-10-22T11:00,10.7,82.0,7.7,0.0,0.0,1013.4,70.0,12.2,225.0
2024-10-22T12:00,11.2,81.0,8.1,0.0,0.0,1012.9,60.0,13.0,223.0
2024-10-22T13:00,11.9,79.0,8.3,0.0,0.0,1012.4,60.0,13.9,221.0
2024-10-22T14:00,12.3,76.0,8.3,0.0,0.0,1012.0,66.0,20.6,241.0
2024-10-22T15:00,12.5,75.0,8.1,0.0,0.0,1012.0,24.0,15.9,243.0
2024-10-22T16:00,12.2,76.0,8.1,0.0,0.0,1011.5,10.0,14.8,233.0
2024-10-22T17:00,11.2,79.0,7.6,0.0,0.0,1011.5,5.0,15.6,237.0
2024-10-22T18:00,10.5,81.0,7.4,0.0,0.0,1011.3,0.0,15.9,233.0
2024-10-22T19:00,10.1,83.0,7.4,0.0,0.0,1011.0,1.0,17.2,233.0
2024-10-22T20:00,9.9,84.0,7.3,0.0,0.0,1011.1,2.0,19.0,233.0
2024-10-22T21:00,10.0,83.0,7.2,0.0,0.0,1010.8,4.0,20.3,235.0
2024-10-22T22:00,9.9,82.0,7.0,0.0,0.0,1010.4,5.0,20.8,237.0
2024-10-22T23:00,9.8,82.0,6.9,0.0,0.0,1010.4,7.0,22.1,242.0
2024-10-23T00:00,9.8,79.0,6.4,0.0,0.0,1010.2,7.0,23.3,248.0
2024-10-23T01:00,9.6,76.0,5.7,0.0,0.0,1010.0,9.0,24.2,252.0
2024-10-23T02:00,9.5,75.0,5.3,0.0,0.0,1010.2,15.0,24.6,254.0
2024-10-23T03:00,10.0,75.0,5.9,0.0,0.0,1011.0,4.0,25.3,261.0
2024-10-23T04:00,9.7,73.0,5.1,0.0,0.0,1011.4,0.0,25.5,265.0
2024-10-23T05:00,9.5,68.0,3.9,0.0,0.0,1012.1,0.0,25.4,270.0
2024-10-23T06:00,9.2,66.0,3.1,0.0,0.0,1013.1,0.0,22.7,271.0
2024-10-23T07:00,9.0,65.0,2.8,0.0,0.0,1013.7,0.0,22.0,272.0
2024-10-23T08:00,8.7,67.0,3.0,0.0,0.0,1014.5,0.0,21.4,270.0
2024-10-23T09:00,9.0,69.0,3.7,0.0,0.0,1015.6,0.0,20.9,271.0
2024-10-23T10:00,9.6,71.0,4.5,0.0,0.0,1016.7,1.0,18.0,268.0
2024-10-23T11:00,10.3,69.0,4.8,0.0,0.0,1017.6,2.0,18.8,266.0
2024-10-23T12:00,10.8,67.0,4.9,0.0,0.0,1018.0,4.0,18.8,266.0
2024-10-23T13:00,11.3,65.0,5.1,0.0,0.0,1018.0,14.0,17.0,263.0
2024-10-23T14:00,11.6,65.0,5.2,0.0,0.0,1018.1,2.0,17.4,260.0
2024-10-23T15:00,11.7,61.0,4.4,0.0,0.0,1018.5,0.0,16.6,257.0
2024-10-23T16:00,11.2,64.0,4.7,0.0,0.0,1018.4,5.0,17.8,254.0
2024-10-23T17:00,10.5,68.0,4.8,0.0,0.0,1017.9,8.0,18.7,249.0
2024-10-23T18:00,10.4,65.0,4.2,0.0,0.0,1018.0,28.0,21.6,255.0
2024-10-23T19:00,10.3,66.0,4.3,0.0,0.0,1017.6,23.0,23.2,254.0
2024-10-23T20:00,10.1,71.0,5.1,0.0,0.0,1017.9,28.0,23.1,257.0
2024-10-23T21:00,10.0,74.0,5.7,0.0,0.0,1017.7,34.0,23.4,258.0
2024-10-23T22:00,10.0,77.0,6.2,0.0,0.0,1018.0,8.0,22.6,258.0
2024-10-23T23:00,9.9,80.0,6.7,0.0,0.0,1018.3,13.0,21.6,259.0
2024-10-24T00:00,9.8,82.0,7.0,0.0,0.0,1018.2,8.0,20.0,259.0
2024-10-24T01:00,9.8,84.0,7.2,0.0,0.0,1018.7,9.0,19.1,262.0
2024-10-24T02:00,9.7,86.0,7.4,0.0,0.0,1019.1,20.0,17.6,264.0
2024-10-24T03:00,9.4,88.0,7.6,0.0,0.0,1019.7,36.0,19.5,265.0
2024-10-24T04:00,9.4,89.0,7.8,0.0,0.0,1019.9,9.0,20.7,270.0
2024-10-24T05:00,9.4,90.0,7.9,0.0,0.0,1019.9,30.0,20.9,270.0
2024-10-24T06:00,9.4,91.0,8.0,0.0,0.0,1020.0,31.0,20.2,273.0
2024-10-24T07:00,9.3,92.0,8.0,0.0,0.0,1020.1,34.0,20.1,277.0
2024-10-24T08:00,9.4,91.0,8.0,0.0,0.0,1020.3,32.0,18.7,278.0
2024-10-24T09:00,9.8,89.0,8.0,0.0,0.0,1020.8,31.0,19.2,277.0
2024-10-24T10:00,10.5,85.0,8.1,0.0,0.0,1021.3,30.0,18.2,275.0
2024-10-24T11:00,11.4,82.0,8.3,0.0,0.0,1022.1,1.0,16.0,273.0
2024-10-24T12:00,12.3,77.0,8.5,0.0,0.0,1022.2,0.0,16.0,269.0
2024-10-24T13:00,13.0,74.0,8.4,0.0,0.0,1022.4,2.0,17.4,263.0
2024-10-24T14:00,13.7,72.0,8.7,0.0,0.0,1022.2,2.0,18.1,257.0
2024-10-24T15:00,13.6,72.0,8.6,0.0,0.0,1021.7,91.0,18.3,257.0
2024-10-24T16:00,12.9,76.0,8.8,0.0,0.0,1021.5,25.0,15.2,253.0
2024-10-24T17:00,11.9,80.0,8.6,0.0,0.0,1021.4,7.0,17.3,256.0
2024-10-24T18:00,11.4,78.0,7.6,0.0,0.0,1021.4,23.0,15.6,259.0
2024-10-24T19:00,10.6,81.0,7.4,0.0,0.0,1021.1,23.0,12.6,246.0
2024-10-24T20:00,10.2,85.0,7.7,0.0,0.0,1021.1,39.0,13.9,234.0
2024-10-24T21:00,10.5,86.0,8.3,0.0,0.0,1021.0,100.0,16.3,244.0
2024-10-24T22:00,11.3,83.0,8.5,0.0,0.0,1021.0,100.0,16.7,248.0
2024-10-24T23:00,11.4,83.0,8.7,0.0,0.0,1021.0,100.0,16.8,247.0
2024-10-25T00:00,11.5,83.0,8.7,0.0,0.0,1020.7,98.0,17.4,247.0
2024-10-25T01:00,11.4,83.0,8.5,0.0,0.0,1020.6,100.0,18.1,249.0
2024-10-25T02:00,11.1,83.0,8.4,0.0,0.0,1020.5,100.0,18.0,250.0
